Format Version,1.23,Take Name,Apr17_Sand_No_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.50.51.250 PM,Capture Start Frame,7896456,Total Frames in Take,21876,Total Exported Frames,21876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.000079,0.000071,0.000328,1.000000,0.327192,-0.026627,0.320676,0.323012,-0.024960,0.270552,0.319005,-0.027959,0.331674,0.339560,-0.026961,0.359802,0.000038,-0.000195,0.000549,1.000000,0.106288,-0.068442,0.305157,0.081301,-0.055389,0.297918,0.121561,-0.073925,0.272463,0.116003,-0.076011,0.345089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323007,-0.024961,0.270547,0.319013,-0.027958,0.331667,0.339555,-0.026962,0.359822,0.081307,-0.055391,0.297910,0.121550,-0.073921,0.272475,0.116004,-0.076012,0.345088
7,0.058000,0.000038,0.000270,-0.001231,0.999999,0.327197,-0.026617,0.320670,0.323002,-0.024926,0.270549,0.319010,-0.027926,0.331671,0.339579,-0.026999,0.359791,0.000164,-0.000227,0.000119,1.000000,0.106293,-0.068430,0.305153,0.081318,-0.055354,0.297916,0.121564,-0.073919,0.272459,0.115999,-0.076018,0.345084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323001,-0.024926,0.270540,0.319007,-0.027926,0.331667,0.339587,-0.026999,0.359814,0.081301,-0.055346,0.297921,0.121581,-0.073928,0.272465,0.116002,-0.076019,0.345078
8,0.067000,0.000114,0.000162,0.001118,0.999999,0.327196,-0.026619,0.320671,0.323004,-0.024940,0.270549,0.319013,-0.027969,0.331670,0.339572,-0.026949,0.359794,0.000096,-0.000220,0.000249,1.000000,0.106298,-0.068459,0.305155,0.081319,-0.055390,0.297916,0.121569,-0.073948,0.272461,0.116006,-0.076039,0.345087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323003,-0.024941,0.270555,0.319009,-0.027968,0.331652,0.339581,-0.026949,0.359813,0.081322,-0.055391,0.297908,0.121561,-0.073944,0.272471,0.116008,-0.076040,0.345087
9,0.075000,-0.000014,0.000108,-0.001025,0.999999,0.327183,-0.026643,0.320699,0.323004,-0.024959,0.270576,0.318993,-0.027955,0.331697,0.339553,-0.027016,0.359824,0.000153,-0.000104,0.000501,1.000000,0.106279,-0.068464,0.305166,0.081291,-0.055407,0.297935,0.121546,-0.073942,0.272469,0.116000,-0.076044,0.345095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323003,-0.024959,0.270566,0.318997,-0.027955,0.331708,0.339547,-0.027017,0.359822,0.081280,-0.055401,0.297927,0.121550,-0.073944,0.272476,0.116007,-0.076047,0.345098
10,0.083000,-0.000019,0.000135,-0.000758,1.000000,0.327179,-0.026633,0.320691,0.322996,-0.024951,0.270569,0.318990,-0.027948,0.331690,0.339551,-0.026998,0.359815,0.000086,0.000016,0.000573,1.000000,0.106269,-0.068452,0.305173,0.081278,-0.055399,0.297946,0.121528,-0.073931,0.272473,0.116000,-0.076024,0.345101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322991,-0.024952,0.270566,0.318999,-0.027947,0.331683,0.339544,-0.027000,0.359832,0.081266,-0.055392,0.297932,0.121530,-0.073932,0.272470,0.116009,-0.076029,0.345114
11,0.092000,-0.000047,0.000199,-0.000155,1.000000,0.327175,-0.026634,0.320686,0.322983,-0.024961,0.270564,0.318989,-0.027959,0.331686,0.339552,-0.026983,0.359809,-0.000049,-0.000131,0.000234,1.000000,0.106276,-0.068437,0.305171,0.081295,-0.055370,0.297933,0.121541,-0.073936,0.272476,0.115990,-0.076006,0.345103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322982,-0.024961,0.270560,0.318987,-0.027959,0.331679,0.339558,-0.026983,0.359827,0.081289,-0.055366,0.297930,0.121545,-0.073938,0.272480,0.115993,-0.076007,0.345103
12,0.100000,-0.000280,0.000027,-0.000249,1.000000,0.327198,-0.026605,0.320690,0.323024,-0.024954,0.270565,0.319008,-0.027923,0.331687,0.339562,-0.026937,0.359817,-0.000298,-0.000002,0.000213,1.000000,0.106270,-0.068447,0.305177,0.081289,-0.055382,0.297939,0.121527,-0.073963,0.272481,0.115995,-0.075996,0.345110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323021,-0.024953,0.270549,0.319017,-0.027922,0.331701,0.339551,-0.026939,0.359821,0.081289,-0.055382,0.297937,0.121526,-0.073963,0.272479,0.115995,-0.075996,0.345112
13,0.108000,-0.000054,0.000122,-0.000324,1.000000,0.327180,-0.026616,0.320692,0.322997,-0.024942,0.270569,0.318992,-0.027938,0.331690,0.339551,-0.026968,0.359816,-0.000205,0.000073,-0.000208,1.000000,0.106271,-0.068449,0.305166,0.081299,-0.055361,0.297934,0.121518,-0.073971,0.272467,0.115995,-0.076013,0.345097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322987,-0.024942,0.270565,0.319025,-0.027935,0.331695,0.339513,-0.026972,0.359815,0.081302,-0.055362,0.297922,0.121507,-0.073966,0.272475,0.115999,-0.076016,0.345101
14,0.117000,0.000034,0.000168,0.000508,1.000000,0.327183,-0.026611,0.320693,0.322993,-0.024935,0.270571,0.318998,-0.027949,0.331692,0.339558,-0.026950,0.359817,0.000206,-0.000025,-0.000151,1.000000,0.106284,-0.068429,0.305169,0.081313,-0.055339,0.297943,0.121538,-0.073923,0.272469,0.116002,-0.076026,0.345096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322990,-0.024935,0.270572,0.319005,-0.027948,0.331690,0.339551,-0.026951,0.359820,0.081312,-0.055339,0.297942,0.121537,-0.073923,0.272479,0.116003,-0.076026,0.345090
15,0.125000,-0.000107,0.000151,0.000461,1.000000,0.327181,-0.026605,0.320694,0.322993,-0.024943,0.270571,0.318996,-0.027939,0.331693,0.339555,-0.026934,0.359818,-0.000036,-0.000106,-0.000002,1.000000,0.106270,-0.068446,0.305170,0.081295,-0.055367,0.297934,0.121531,-0.073951,0.272475,0.115983,-0.076020,0.345102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322996,-0.024943,0.270572,0.318992,-0.027940,0.331701,0.339556,-0.026933,0.359802,0.081289,-0.055364,0.297941,0.121542,-0.073957,0.272470,0.115982,-0.076020,0.345099
