Format Version,1.23,Take Name,Apr17_Sand_No_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.50.51.250 PM,Capture Start Frame,7896456,Total Frames in Take,21876,Total Exported Frames,21876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
4304,35.867000,0.015677,-0.108292,-0.015257,0.993878,0.499850,-0.034607,0.331388,0.506637,-0.031395,0.281626,0.489448,-0.035965,0.340316,0.503465,-0.036462,0.372221,-0.008409,-0.102438,0.003139,0.994699,0.285659,-0.071691,0.267010,0.262623,-0.058929,0.254616,0.307284,-0.077598,0.238205,0.287072,-0.078547,0.308207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506517,-0.031412,0.281764,0.489716,-0.035937,0.340222,0.503207,-0.036481,0.372160,0.262520,-0.058892,0.254694,0.307372,-0.077673,0.238425,0.287119,-0.078530,0.307945
4305,35.875000,0.015342,-0.107858,-0.013663,0.993954,0.499901,-0.034556,0.331332,0.506636,-0.031372,0.281562,0.489511,-0.035937,0.340270,0.503557,-0.036359,0.372165,-0.008331,-0.102421,0.003168,0.994701,0.285667,-0.071704,0.266998,0.262629,-0.058941,0.254607,0.307291,-0.077604,0.238191,0.287082,-0.078566,0.308195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506531,-0.031393,0.281773,0.489707,-0.035916,0.340192,0.503369,-0.036367,0.371996,0.262520,-0.058901,0.254684,0.307387,-0.077684,0.238416,0.287129,-0.078550,0.307940
4306,35.883000,0.015513,-0.108395,-0.014515,0.993881,0.499864,-0.034578,0.331374,0.506658,-0.031380,0.281612,0.489462,-0.035946,0.340300,0.503474,-0.036408,0.372209,-0.008485,-0.102448,0.003447,0.994696,0.285650,-0.071709,0.267000,0.262606,-0.058963,0.254604,0.307278,-0.077609,0.238197,0.287066,-0.078556,0.308199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506532,-0.031400,0.281777,0.489724,-0.035919,0.340209,0.503220,-0.036425,0.372115,0.262485,-0.058916,0.254673,0.307392,-0.077699,0.238440,0.287118,-0.078544,0.307959
4307,35.892000,0.015891,-0.108475,-0.015767,0.993847,0.499832,-0.034606,0.331385,0.506640,-0.031374,0.281627,0.489425,-0.035958,0.340308,0.503431,-0.036486,0.372218,-0.008367,-0.102458,0.002764,0.994698,0.285663,-0.071700,0.267007,0.262637,-0.058918,0.254615,0.307284,-0.077617,0.238203,0.287069,-0.078563,0.308204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506513,-0.031392,0.281766,0.489702,-0.035929,0.340203,0.503168,-0.036506,0.372176,0.262528,-0.058878,0.254689,0.307378,-0.077696,0.238427,0.287117,-0.078549,0.307953
4308,35.900000,0.015817,-0.108446,-0.015871,0.993850,0.499833,-0.034606,0.331371,0.506638,-0.031382,0.281612,0.489426,-0.035955,0.340295,0.503434,-0.036482,0.372205,-0.008528,-0.102342,0.003324,0.994707,0.285669,-0.071702,0.267007,0.262625,-0.058951,0.254615,0.307289,-0.077609,0.238199,0.287092,-0.078546,0.308206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506507,-0.031401,0.281766,0.489694,-0.035927,0.340187,0.503181,-0.036501,0.372159,0.262525,-0.058915,0.254690,0.307374,-0.077683,0.238423,0.287140,-0.078529,0.307940
4309,35.908000,0.015825,-0.108351,-0.015995,0.993858,0.499839,-0.034613,0.331372,0.506635,-0.031388,0.281613,0.489434,-0.035960,0.340299,0.503448,-0.036492,0.372205,-0.008292,-0.102435,0.003384,0.994699,0.285650,-0.071703,0.266996,0.262606,-0.058950,0.254605,0.307277,-0.077593,0.238190,0.287066,-0.078566,0.308193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506509,-0.031406,0.281760,0.489704,-0.035932,0.340198,0.503190,-0.036510,0.372149,0.262503,-0.058910,0.254667,0.307358,-0.077666,0.238422,0.287119,-0.078554,0.307950
4310,35.917000,0.015992,-0.108562,-0.015378,0.993842,0.499845,-0.034622,0.331387,0.506659,-0.031378,0.281631,0.489437,-0.035983,0.340308,0.503437,-0.036504,0.372221,-0.008631,-0.102586,0.003461,0.994681,0.285662,-0.071695,0.267006,0.262622,-0.058953,0.254599,0.307299,-0.077604,0.238211,0.287067,-0.078530,0.308208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506534,-0.031396,0.281769,0.489710,-0.035954,0.340204,0.503177,-0.036523,0.372180,0.262518,-0.058915,0.254672,0.307386,-0.077678,0.238433,0.287115,-0.078515,0.307955
4311,35.925000,0.016181,-0.108506,-0.016996,0.993819,0.499842,-0.034623,0.331374,0.506659,-0.031365,0.281619,0.489432,-0.035958,0.340296,0.503435,-0.036546,0.372206,-0.008118,-0.102583,0.003552,0.994685,0.285649,-0.071706,0.267003,0.262605,-0.058958,0.254609,0.307287,-0.077579,0.238201,0.287056,-0.078581,0.308198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506521,-0.031386,0.281783,0.489715,-0.035929,0.340186,0.503165,-0.036566,0.372148,0.262510,-0.058922,0.254669,0.307357,-0.077646,0.238425,0.287108,-0.078569,0.307953
4312,35.933000,0.015956,-0.108328,-0.015852,0.993861,0.499854,-0.034618,0.331375,0.506648,-0.031379,0.281616,0.489450,-0.035969,0.340302,0.503465,-0.036504,0.372208,-0.008548,-0.102453,0.003174,0.994696,0.285661,-0.071720,0.266993,0.262624,-0.058962,0.254596,0.307286,-0.077634,0.238191,0.287072,-0.078564,0.308193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506533,-0.031395,0.281734,0.489722,-0.035942,0.340208,0.503204,-0.036524,0.372168,0.262525,-0.058925,0.254660,0.307364,-0.077704,0.238416,0.287124,-0.078552,0.307945
4313,35.942000,0.014967,-0.109848,-0.010317,0.993782,0.499767,-0.034525,0.331401,0.506685,-0.031372,0.281654,0.489349,-0.035960,0.340299,0.503267,-0.036243,0.372251,-0.008369,-0.102464,0.003377,0.994696,0.285665,-0.071715,0.267011,0.262623,-0.058963,0.254617,0.307293,-0.077610,0.238207,0.287079,-0.078572,0.308209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506554,-0.031390,0.281767,0.489703,-0.035921,0.340186,0.502928,-0.036273,0.372229,0.262521,-0.058927,0.254695,0.307381,-0.077685,0.238428,0.287126,-0.078554,0.307943
4314,35.950000,0.015628,-0.109279,-0.013427,0.993798,0.499811,-0.034573,0.331392,0.506688,-0.031362,0.281643,0.489396,-0.035964,0.340300,0.503350,-0.036394,0.372234,-0.008581,-0.102612,0.003269,0.994679,0.285661,-0.071708,0.267017,0.262625,-0.058955,0.254611,0.307296,-0.077620,0.238222,0.287060,-0.078549,0.308217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506556,-0.031381,0.281777,0.489712,-0.035929,0.340195,0.503045,-0.036420,0.372184,0.262522,-0.058918,0.254688,0.307387,-0.077696,0.238439,0.287106,-0.078532,0.307960
4315,35.958000,0.016101,-0.108415,-0.016333,0.993841,0.499860,-0.034610,0.331389,0.506665,-0.031358,0.281632,0.489453,-0.035956,0.340313,0.503462,-0.036517,0.372221,-0.009019,-0.102605,0.003378,0.994676,0.285666,-0.071711,0.267006,0.262629,-0.058972,0.254588,0.307302,-0.077646,0.238216,0.287067,-0.078514,0.308212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506547,-0.031375,0.281758,0.489724,-0.035928,0.340216,0.503202,-0.036536,0.372178,0.262518,-0.058932,0.254674,0.307406,-0.077727,0.238432,0.287110,-0.078496,0.307955
4316,35.967000,0.014910,-0.108961,-0.009562,0.993888,0.499840,-0.034505,0.331362,0.506665,-0.031355,0.281602,0.489440,-0.035954,0.340279,0.503415,-0.036207,0.372206,-0.008624,-0.102431,0.002996,0.994698,0.285669,-0.071709,0.266998,0.262637,-0.058944,0.254600,0.307291,-0.077634,0.238195,0.287080,-0.078549,0.308199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506544,-0.031375,0.281766,0.489712,-0.035925,0.340209,0.503141,-0.036225,0.372064,0.262521,-0.058901,0.254683,0.307401,-0.077719,0.238418,0.287125,-0.078532,0.307946
4317,35.975000,0.015045,-0.108178,-0.011531,0.993951,0.499892,-0.034510,0.331333,0.506648,-0.031351,0.281563,0.489501,-0.035924,0.340265,0.503527,-0.036254,0.372169,-0.008451,-0.102563,0.003167,0.994686,0.285658,-0.071679,0.267006,0.262624,-0.058919,0.254606,0.307290,-0.077587,0.238208,0.287061,-0.078532,0.308205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506543,-0.031371,0.281772,0.489724,-0.035900,0.340202,0.503301,-0.036265,0.371950,0.262533,-0.058886,0.254674,0.307363,-0.077654,0.238422,0.287108,-0.078516,0.307951
4318,35.983000,0.015477,-0.107813,-0.013288,0.993962,0.499904,-0.034562,0.331327,0.506632,-0.031364,0.281556,0.489515,-0.035952,0.340265,0.503564,-0.036370,0.372158,-0.008317,-0.102568,0.003062,0.994687,0.285660,-0.071697,0.267005,0.262629,-0.058929,0.254608,0.307291,-0.077601,0.238204,0.287061,-0.078562,0.308201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506537,-0.031382,0.281742,0.489718,-0.035931,0.340205,0.503361,-0.036378,0.371970,0.262521,-0.058889,0.254677,0.307381,-0.077678,0.238433,0.287112,-0.078549,0.307955
4319,35.992000,0.016101,-0.108324,-0.016054,0.993856,0.499868,-0.034622,0.331359,0.506662,-0.031369,0.281600,0.489463,-0.035972,0.340285,0.503478,-0.036523,0.372190,-0.008446,-0.102490,0.003337,0.994693,0.285668,-0.071708,0.266995,0.262628,-0.058956,0.254598,0.307298,-0.077610,0.238193,0.287079,-0.078559,0.308194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506535,-0.031388,0.281766,0.489714,-0.035946,0.340183,0.503240,-0.036540,0.372122,0.262521,-0.058916,0.254669,0.307389,-0.077686,0.238416,0.287127,-0.078545,0.307949
4320,36.000000,0.015939,-0.108422,-0.016265,0.993844,0.499853,-0.034627,0.331374,0.506658,-0.031391,0.281616,0.489446,-0.035970,0.340298,0.503456,-0.036519,0.372207,-0.008549,-0.102453,0.003338,0.994696,0.285652,-0.071719,0.266995,0.262611,-0.058969,0.254597,0.307279,-0.077627,0.238193,0.287065,-0.078562,0.308195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506530,-0.031409,0.281760,0.489717,-0.035942,0.340190,0.503200,-0.036538,0.372169,0.262502,-0.058930,0.254679,0.307380,-0.077706,0.238404,0.287108,-0.078545,0.307947
4321,36.008000,0.015877,-0.108415,-0.016040,0.993850,0.499858,-0.034600,0.331365,0.506661,-0.031370,0.281606,0.489451,-0.035947,0.340290,0.503461,-0.036484,0.372198,-0.008517,-0.102567,0.003639,0.994683,0.285652,-0.071713,0.266993,0.262606,-0.058977,0.254590,0.307290,-0.077607,0.238196,0.287061,-0.078554,0.308194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506540,-0.031388,0.281752,0.489707,-0.035920,0.340195,0.503216,-0.036500,0.372134,0.262496,-0.058935,0.254664,0.307390,-0.077688,0.238417,0.287108,-0.078540,0.307953
4322,36.017000,0.015776,-0.108461,-0.015415,0.993856,0.499858,-0.034603,0.331370,0.506662,-0.031382,0.281611,0.489452,-0.035960,0.340294,0.503459,-0.036469,0.372204,-0.008305,-0.102441,0.003449,0.994698,0.285650,-0.071721,0.267004,0.262606,-0.058971,0.254612,0.307278,-0.077609,0.238198,0.287067,-0.078581,0.308201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506543,-0.031400,0.281759,0.489712,-0.035933,0.340206,0.503207,-0.036486,0.372123,0.262493,-0.058928,0.254682,0.307380,-0.077692,0.238428,0.287117,-0.078569,0.307963
4323,36.025000,0.015852,-0.108410,-0.014432,0.993875,0.499861,-0.034612,0.331381,0.506656,-0.031380,0.281622,0.489459,-0.035988,0.340306,0.503469,-0.036467,0.372215,-0.008754,-0.102562,0.003234,0.994683,0.285656,-0.071706,0.266997,0.262621,-0.058955,0.254589,0.307288,-0.077630,0.238202,0.287059,-0.078533,0.308200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506529,-0.031398,0.281772,0.489726,-0.035959,0.340205,0.503214,-0.036486,0.372156,0.262500,-0.058910,0.254674,0.307409,-0.077721,0.238425,0.287103,-0.078516,0.307951
4324,36.033000,0.014711,-0.109751,-0.009492,0.993805,0.499759,-0.034512,0.331416,0.506663,-0.031382,0.281665,0.489345,-0.035957,0.340317,0.503269,-0.036196,0.372266,-0.008631,-0.102586,0.003331,0.994681,0.285647,-0.071717,0.266996,0.262609,-0.058968,0.254590,0.307281,-0.077630,0.238201,0.287049,-0.078553,0.308198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506530,-0.031401,0.281779,0.489706,-0.035917,0.340205,0.502920,-0.036227,0.372237,0.262503,-0.058929,0.254661,0.307373,-0.077706,0.238421,0.287097,-0.078539,0.307957
4325,36.042000,0.014947,-0.109961,-0.010925,0.993763,0.499722,-0.034535,0.331418,0.506654,-0.031386,0.281672,0.489301,-0.035958,0.340314,0.503211,-0.036260,0.372268,-0.008085,-0.102529,0.003271,0.994692,0.285651,-0.071716,0.267000,0.262612,-0.058953,0.254611,0.307282,-0.077597,0.238196,0.287058,-0.078597,0.308194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506518,-0.031404,0.281782,0.489700,-0.035914,0.340201,0.502833,-0.036295,0.372236,0.262508,-0.058914,0.254682,0.307372,-0.077673,0.238416,0.287106,-0.078582,0.307950
4326,36.050000,0.015452,-0.108161,-0.012417,0.993936,0.499891,-0.034553,0.331335,0.506650,-0.031355,0.281569,0.489498,-0.035959,0.340267,0.503525,-0.036344,0.372170,-0.008349,-0.102556,0.003527,0.994686,0.285642,-0.071730,0.267000,0.262598,-0.058986,0.254602,0.307278,-0.077619,0.238200,0.287051,-0.078587,0.308198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506547,-0.031375,0.281757,0.489714,-0.035936,0.340201,0.503310,-0.036355,0.371992,0.262488,-0.058944,0.254671,0.307378,-0.077699,0.238421,0.287098,-0.078575,0.307967
4327,36.058000,0.015741,-0.108188,-0.015565,0.993884,0.499877,-0.034594,0.331373,0.506655,-0.031376,0.281610,0.489476,-0.035947,0.340303,0.503500,-0.036459,0.372205,-0.008477,-0.102592,0.003245,0.994682,0.285650,-0.071709,0.267022,0.262615,-0.058954,0.254620,0.307284,-0.077616,0.238225,0.287051,-0.078559,0.308221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506532,-0.031395,0.281780,0.489712,-0.035921,0.340205,0.503277,-0.036474,0.372128,0.262507,-0.058914,0.254697,0.307380,-0.077694,0.238445,0.287097,-0.078543,0.307968
4328,36.067000,0.016079,-0.108320,-0.016843,0.993843,0.499864,-0.034619,0.331387,0.506662,-0.031370,0.281629,0.489458,-0.035954,0.340313,0.503473,-0.036531,0.372219,-0.008423,-0.102478,0.003240,0.994694,0.285676,-0.071696,0.267010,0.262637,-0.058939,0.254614,0.307303,-0.077600,0.238207,0.287086,-0.078550,0.308208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506541,-0.031387,0.281764,0.489726,-0.035927,0.340215,0.503216,-0.036550,0.372171,0.262521,-0.058897,0.254701,0.307417,-0.077686,0.238423,0.287128,-0.078532,0.307955
4329,36.075000,0.014923,-0.109716,-0.010306,0.993798,0.499762,-0.034527,0.331416,0.506666,-0.031379,0.281666,0.489346,-0.035961,0.340317,0.503273,-0.036241,0.372265,-0.008401,-0.102352,0.002977,0.994708,0.285673,-0.071710,0.267004,0.262639,-0.058939,0.254615,0.307291,-0.077622,0.238195,0.287091,-0.078568,0.308201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506532,-0.031397,0.281783,0.489709,-0.035922,0.340202,0.502924,-0.036272,0.372238,0.262541,-0.058904,0.254689,0.307372,-0.077694,0.238416,0.287139,-0.078551,0.307937
4330,36.083000,0.015629,-0.109186,-0.013104,0.993812,0.499814,-0.034575,0.331387,0.506680,-0.031363,0.281637,0.489401,-0.035971,0.340297,0.503362,-0.036391,0.372229,-0.008233,-0.102515,0.002996,0.994693,0.285680,-0.071703,0.267014,0.262648,-0.058930,0.254622,0.307307,-0.077604,0.238210,0.287084,-0.078575,0.308209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506541,-0.031383,0.281788,0.489722,-0.035936,0.340194,0.503050,-0.036416,0.372157,0.262545,-0.058893,0.254698,0.307397,-0.077679,0.238430,0.287131,-0.078559,0.307953
4331,36.092000,0.016155,-0.108270,-0.016245,0.993858,0.499868,-0.034604,0.331384,0.506658,-0.031347,0.281626,0.489464,-0.035953,0.340311,0.503482,-0.036514,0.372215,-0.008680,-0.102666,0.003019,0.994673,0.285671,-0.071707,0.267018,0.262644,-0.058944,0.254608,0.307307,-0.077634,0.238227,0.287063,-0.078542,0.308220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506532,-0.031365,0.281777,0.489731,-0.035925,0.340212,0.503226,-0.036532,0.372152,0.262546,-0.058911,0.254700,0.307401,-0.077708,0.238425,0.287099,-0.078519,0.307952
4332,36.100000,0.016030,-0.108136,-0.016866,0.993864,0.499870,-0.034614,0.331379,0.506650,-0.031371,0.281619,0.489467,-0.035949,0.340310,0.503494,-0.036524,0.372210,-0.008487,-0.102601,0.003390,0.994681,0.285668,-0.071704,0.267024,0.262629,-0.058956,0.254620,0.307304,-0.077606,0.238227,0.287070,-0.078551,0.308223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506531,-0.031388,0.281763,0.489716,-0.035923,0.340212,0.503257,-0.036540,0.372153,0.262527,-0.058919,0.254698,0.307391,-0.077681,0.238449,0.287117,-0.078533,0.307956
4333,36.108000,0.015817,-0.108279,-0.016708,0.993854,0.499859,-0.034598,0.331377,0.506652,-0.031376,0.281617,0.489453,-0.035931,0.340305,0.503472,-0.036488,0.372209,-0.008306,-0.102403,0.003413,0.994703,0.285641,-0.071717,0.267007,0.262596,-0.058965,0.254617,0.307267,-0.077607,0.238200,0.287061,-0.078578,0.308204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506527,-0.031395,0.281775,0.489710,-0.035905,0.340208,0.503227,-0.036504,0.372137,0.262485,-0.058924,0.254696,0.307373,-0.077689,0.238414,0.287104,-0.078562,0.307963
4334,36.117000,0.014803,-0.109552,-0.010609,0.993814,0.499760,-0.034516,0.331411,0.506649,-0.031381,0.281659,0.489347,-0.035943,0.340316,0.503284,-0.036226,0.372259,-0.008280,-0.102551,0.003554,0.994687,0.285645,-0.071719,0.267001,0.262600,-0.058974,0.254605,0.307280,-0.077602,0.238200,0.287054,-0.078581,0.308198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506517,-0.031399,0.281772,0.489709,-0.035903,0.340203,0.502934,-0.036257,0.372232,0.262486,-0.058931,0.254680,0.307386,-0.077686,0.238425,0.287101,-0.078567,0.307958
4335,36.125000,0.015545,-0.109007,-0.014225,0.993818,0.499810,-0.034575,0.331393,0.506663,-0.031374,0.281640,0.489397,-0.035948,0.340307,0.503370,-0.036402,0.372233,-0.008316,-0.102755,0.003158,0.994667,0.285648,-0.071722,0.267000,0.262618,-0.058958,0.254594,0.307291,-0.077621,0.238208,0.287035,-0.078585,0.308197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506529,-0.031393,0.281781,0.489709,-0.035915,0.340201,0.503069,-0.036426,0.372179,0.262510,-0.058918,0.254666,0.307394,-0.077701,0.238416,0.287078,-0.078572,0.307973
4336,36.133000,0.015937,-0.108504,-0.015029,0.993855,0.499863,-0.034606,0.331381,0.506671,-0.031368,0.281624,0.489458,-0.035973,0.340304,0.503462,-0.036478,0.372215,-0.008617,-0.102543,0.003243,0.994686,0.285661,-0.071711,0.266986,0.262625,-0.058958,0.254582,0.307292,-0.077627,0.238188,0.287066,-0.078549,0.308187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506551,-0.031385,0.281758,0.489724,-0.035945,0.340209,0.503206,-0.036497,0.372161,0.262521,-0.058920,0.254652,0.307382,-0.077701,0.238403,0.287112,-0.078536,0.307952
4337,36.142000,0.015877,-0.107616,-0.015004,0.993953,0.499909,-0.034612,0.331333,0.506627,-0.031378,0.281563,0.489520,-0.035978,0.340275,0.503581,-0.036480,0.372161,-0.008549,-0.102476,0.003706,0.994692,0.285646,-0.071702,0.266981,0.262596,-0.058970,0.254582,0.307279,-0.077596,0.238181,0.287063,-0.078541,0.308182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506521,-0.031398,0.281770,0.489714,-0.035958,0.340194,0.503395,-0.036487,0.372008,0.262481,-0.058926,0.254652,0.307381,-0.077680,0.238416,0.287114,-0.078528,0.307938
4338,36.150000,0.015718,-0.108329,-0.015552,0.993869,0.499869,-0.034587,0.331368,0.506661,-0.031371,0.281608,0.489465,-0.035940,0.340296,0.503481,-0.036450,0.372202,-0.008364,-0.102400,0.003523,0.994702,0.285671,-0.071708,0.266987,0.262623,-0.058964,0.254596,0.307297,-0.077598,0.238180,0.287092,-0.078564,0.308184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506544,-0.031389,0.281749,0.489714,-0.035914,0.340202,0.503242,-0.036467,0.372141,0.262511,-0.058921,0.254665,0.307394,-0.077679,0.238413,0.287143,-0.078551,0.307939
4339,36.158000,0.015863,-0.108437,-0.015525,0.993856,0.499851,-0.034597,0.331387,0.506654,-0.031367,0.281628,0.489446,-0.035953,0.340311,0.503454,-0.036471,0.372221,-0.008479,-0.102539,0.003359,0.994687,0.285667,-0.071702,0.267002,0.262627,-0.058951,0.254602,0.307299,-0.077604,0.238203,0.287074,-0.078549,0.308201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506538,-0.031383,0.281748,0.489724,-0.035924,0.340219,0.503186,-0.036491,0.372174,0.262524,-0.058914,0.254680,0.307391,-0.077679,0.238415,0.287118,-0.078532,0.307949
4340,36.167000,0.016163,-0.108621,-0.014972,0.993839,0.499844,-0.034624,0.331384,0.506662,-0.031362,0.281630,0.489436,-0.035996,0.340304,0.503433,-0.036513,0.372219,-0.008342,-0.102554,0.003112,0.994688,0.285674,-0.071706,0.267008,0.262641,-0.058941,0.254611,0.307305,-0.077609,0.238207,0.287076,-0.078567,0.308205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506538,-0.031381,0.281774,0.489706,-0.035967,0.340204,0.503175,-0.036532,0.372164,0.262535,-0.058901,0.254680,0.307391,-0.077685,0.238439,0.287128,-0.078554,0.307949
