Format Version,1.23,Take Name,Apr17_Sand_No_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 05.15.20.295 PM,Capture Start Frame,7208744,Total Frames in Take,4210,Total Exported Frames,4210,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker1,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker2,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyFront_Marker3,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker1,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker2,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-legacyRear_Marker3,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker1,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker2,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker3,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker4,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker5,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,FKA-softSpineSingleBody_Marker6,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker1,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker2,legacyFront:Marker3,legacyFront:Marker3,legacyFront:Marker3,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker1,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker2,legacyRear:Marker3,legacyRear:Marker3,legacyRear:Marker3
,ID,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,254392E370B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,435E62D970B511F11571DA7D1A00909B,"9037C7F770B511F11571DA7D1A00909B","9037C7F770B511F11571DA7D1A00909B","9037C7F770B511F11571DA7D1A00909B","9037C7F870B511F11571DA7D1A00909B","9037C7F870B511F11571DA7D1A00909B","9037C7F870B511F11571DA7D1A00909B","9037C7F970B511F11571DA7D1A00909B","9037C7F970B511F11571DA7D1A00909B","9037C7F970B511F11571DA7D1A00909B","97F2CE7E70B511F11571DA7D1A00909B","97F2CE7E70B511F11571DA7D1A00909B","97F2CE7E70B511F11571DA7D1A00909B","97F2CE7F70B511F11571DA7D1A00909B","97F2CE7F70B511F11571DA7D1A00909B","97F2CE7F70B511F11571DA7D1A00909B","97F2CE8070B511F11571DA7D1A00909B","97F2CE8070B511F11571DA7D1A00909B","97F2CE8070B511F11571DA7D1A00909B","AEE7E30B3ABB11F11571DA7D1A00809B","AEE7E30B3ABB11F11571DA7D1A00809B","AEE7E30B3ABB11F11571DA7D1A00809B","AEE7E3073ABB11F11571DA7D1A00809B","AEE7E3073ABB11F11571DA7D1A00809B","AEE7E3073ABB11F11571DA7D1A00809B","AEE7E3093ABB11F11571DA7D1A00809B","AEE7E3093ABB11F11571DA7D1A00809B","AEE7E3093ABB11F11571DA7D1A00809B","AEE7E30A3ABB11F11571DA7D1A00809B","AEE7E30A3ABB11F11571DA7D1A00809B","AEE7E30A3ABB11F11571DA7D1A00809B","AEE7E3083ABB11F11571DA7D1A00809B","AEE7E3083ABB11F11571DA7D1A00809B","AEE7E3083ABB11F11571DA7D1A00809B","AEE7E30C3ABB11F11571DA7D1A00809B","AEE7E30C3ABB11F11571DA7D1A00809B","AEE7E30C3ABB11F11571DA7D1A00809B","254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E770B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E870B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","254392E970B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DD70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DE70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B","435E62DF70B511F11571DA7D1A00909B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.035268,0.156504,-0.017600,0.986891,0.347151,-0.032396,0.218463,0.338709,-0.032246,0.229499,0.358886,-0.029009,0.257554,0.343858,-0.035932,0.168335,0.032636,0.147048,0.005111,0.988578,0.123004,-0.073513,0.208297,0.132170,-0.080739,0.248742,0.097885,-0.061320,0.201276,0.138957,-0.078480,0.174872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338819,-0.032243,0.229399,0.358827,-0.029012,0.257598,0.343791,-0.035933,0.168410,0.132289,-0.080791,0.248702,0.097261,-0.061025,0.201218,0.139378,-0.078688,0.175047
1,0.008000,-0.035593,0.156427,-0.017380,0.986895,0.347138,-0.032400,0.218481,0.338694,-0.032249,0.229516,0.358866,-0.028985,0.257571,0.343853,-0.035967,0.168355,0.033123,0.146925,0.005816,0.988576,0.122999,-0.073494,0.208299,0.132163,-0.080756,0.248738,0.097867,-0.061324,0.201285,0.138968,-0.078402,0.174872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338829,-0.032248,0.229393,0.358798,-0.028985,0.257636,0.343796,-0.035967,0.168406,0.132278,-0.080807,0.248710,0.097263,-0.061039,0.201217,0.139386,-0.078608,0.175032
2,0.017000,-0.035232,0.156363,-0.016605,0.986931,0.347128,-0.032407,0.218485,0.338683,-0.032278,0.229520,0.358847,-0.029012,0.257580,0.343852,-0.035930,0.168355,0.033175,0.147157,0.005681,0.988540,0.123000,-0.073496,0.208282,0.132182,-0.080763,0.248717,0.097868,-0.061319,0.201282,0.138951,-0.078406,0.174848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338815,-0.032278,0.229381,0.358783,-0.029012,0.257649,0.343795,-0.035930,0.168414,0.132299,-0.080815,0.248687,0.097270,-0.061036,0.201209,0.139376,-0.078616,0.175025
3,0.025000,-0.035277,0.156733,-0.015675,0.986886,0.347134,-0.032401,0.218485,0.338698,-0.032290,0.229527,0.358880,-0.028993,0.257571,0.343825,-0.035920,0.168357,0.033253,0.147306,0.005848,0.988515,0.122979,-0.073501,0.208297,0.132175,-0.080773,0.248727,0.097841,-0.061330,0.201306,0.138922,-0.078399,0.174857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338803,-0.032290,0.229405,0.358827,-0.028993,0.257626,0.343776,-0.035919,0.168420,0.132297,-0.080827,0.248690,0.097253,-0.061052,0.201229,0.139372,-0.078623,0.175073
4,0.033000,-0.035371,0.156623,-0.016023,0.986895,0.347140,-0.032404,0.218473,0.338702,-0.032284,0.229513,0.358878,-0.028992,0.257562,0.343840,-0.035935,0.168346,0.033117,0.147143,0.005582,0.988545,0.122983,-0.073494,0.208295,0.132162,-0.080757,0.248731,0.097853,-0.061313,0.201292,0.138934,-0.078411,0.174861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338816,-0.032283,0.229394,0.358817,-0.028993,0.257608,0.343784,-0.035934,0.168425,0.132273,-0.080806,0.248702,0.097265,-0.061036,0.201234,0.139348,-0.078614,0.175011
5,0.042000,-0.035260,0.156430,-0.015920,0.986931,0.347138,-0.032390,0.218459,0.338695,-0.032274,0.229495,0.358861,-0.028985,0.257552,0.343859,-0.035910,0.168329,0.033194,0.147380,0.005453,0.988508,0.122986,-0.073499,0.208281,0.132183,-0.080769,0.248711,0.097856,-0.061311,0.201291,0.138919,-0.078417,0.174839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338814,-0.032274,0.229371,0.358798,-0.028987,0.257600,0.343799,-0.035908,0.168412,0.132299,-0.080821,0.248683,0.097268,-0.061033,0.201218,0.139334,-0.078622,0.175009
