Format Version,1.23,Take Name,Apr17_Sand_Des_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.44.54.322 PM,Capture Start Frame,7853625,Total Frames in Take,17196,Total Exported Frames,17196,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.065753,0.017342,-0.013379,0.997595,0.361914,-0.028569,0.281567,0.373524,-0.031716,0.320549,0.354013,-0.030103,0.292444,0.358206,-0.023889,0.231709,0.000316,-0.000028,0.000165,1.000000,0.139338,-0.066123,0.261572,0.114264,-0.052577,0.254544,0.154901,-0.070541,0.229102,0.148849,-0.075250,0.301070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373717,-0.031719,0.320696,0.353865,-0.030121,0.292541,0.358249,-0.023865,0.231498,0.114250,-0.052568,0.254530,0.154905,-0.070542,0.229096,0.148858,-0.075256,0.301085
7,0.058000,-0.065515,0.017187,-0.013200,0.997616,0.361921,-0.028583,0.281567,0.373520,-0.031744,0.320551,0.354017,-0.030125,0.292441,0.358226,-0.023880,0.231710,0.000309,-0.000048,-0.000061,1.000000,0.139337,-0.066121,0.261572,0.114270,-0.052564,0.254544,0.154900,-0.070547,0.229103,0.148842,-0.075252,0.301071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373697,-0.031748,0.320692,0.353883,-0.030142,0.292529,0.358264,-0.023858,0.231513,0.114256,-0.052557,0.254539,0.154908,-0.070552,0.229112,0.148848,-0.075255,0.301069
8,0.067000,-0.065449,0.017349,-0.012891,0.997622,0.361933,-0.028578,0.281550,0.373548,-0.031738,0.320529,0.354034,-0.030126,0.292427,0.358217,-0.023870,0.231695,-0.000050,0.000205,-0.000270,1.000000,0.139342,-0.066143,0.261573,0.114277,-0.052581,0.254547,0.154886,-0.070599,0.229099,0.148863,-0.075250,0.301073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373742,-0.031740,0.320667,0.353885,-0.030144,0.292515,0.358259,-0.023848,0.231506,0.114272,-0.052580,0.254553,0.154894,-0.070603,0.229100,0.148862,-0.075249,0.301067
9,0.075000,-0.065501,0.017491,-0.013724,0.997605,0.361929,-0.028582,0.281561,0.373546,-0.031757,0.320538,0.354029,-0.030116,0.292439,0.358212,-0.023874,0.231705,0.000099,0.000120,-0.000519,1.000000,0.139351,-0.066119,0.261568,0.114294,-0.052543,0.254542,0.154899,-0.070573,0.229095,0.148861,-0.075242,0.301067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373739,-0.031760,0.320684,0.353883,-0.030133,0.292527,0.358253,-0.023852,0.231509,0.114287,-0.052538,0.254531,0.154898,-0.070573,0.229101,0.148868,-0.075246,0.301071
10,0.083000,-0.065574,0.017454,-0.013634,0.997602,0.361931,-0.028607,0.281555,0.373546,-0.031774,0.320533,0.354031,-0.030141,0.292433,0.358216,-0.023907,0.231699,-0.000015,0.000014,-0.000244,1.000000,0.139345,-0.066125,0.261566,0.114282,-0.052564,0.254531,0.154902,-0.070578,0.229097,0.148852,-0.075234,0.301069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373731,-0.031777,0.320680,0.353891,-0.030158,0.292522,0.358255,-0.023885,0.231500,0.114281,-0.052562,0.254524,0.154899,-0.070575,0.229091,0.148854,-0.075236,0.301078
11,0.092000,-0.065419,0.017376,-0.013401,0.997617,0.361926,-0.028604,0.281562,0.373537,-0.031778,0.320540,0.354025,-0.030145,0.292438,0.358215,-0.023890,0.231706,-0.000090,-0.000078,-0.000130,1.000000,0.139342,-0.066143,0.261568,0.114276,-0.052589,0.254527,0.154906,-0.070597,0.229103,0.148843,-0.075244,0.301074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373722,-0.031780,0.320675,0.353882,-0.030163,0.292536,0.358259,-0.023867,0.231498,0.114289,-0.052595,0.254525,0.154893,-0.070591,0.229108,0.148840,-0.075242,0.301073
12,0.100000,-0.065586,0.017363,-0.013373,0.997606,0.361923,-0.028582,0.281556,0.373534,-0.031742,0.320536,0.354022,-0.030119,0.292433,0.358213,-0.023884,0.231699,-0.000318,-0.000018,-0.000395,1.000000,0.139342,-0.066154,0.261562,0.114283,-0.052590,0.254517,0.154900,-0.070631,0.229097,0.148843,-0.075242,0.301071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373712,-0.031745,0.320673,0.353886,-0.030137,0.292529,0.358254,-0.023862,0.231492,0.114296,-0.052596,0.254514,0.154886,-0.070624,0.229097,0.148841,-0.075241,0.301073
13,0.108000,-0.065585,0.017190,-0.012201,0.997624,0.361908,-0.028585,0.281553,0.373518,-0.031719,0.320535,0.354008,-0.030141,0.292428,0.358196,-0.023894,0.231695,-0.000118,0.000132,-0.000168,1.000000,0.139334,-0.066157,0.261567,0.114267,-0.052601,0.254536,0.154884,-0.070614,0.229096,0.148851,-0.075256,0.301070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373704,-0.031721,0.320673,0.353867,-0.030159,0.292516,0.358237,-0.023872,0.231504,0.114283,-0.052610,0.254539,0.154873,-0.070607,0.229081,0.148845,-0.075254,0.301076
14,0.117000,-0.065389,0.017269,-0.012638,0.997630,0.361903,-0.028588,0.281561,0.373515,-0.031747,0.320541,0.354004,-0.030142,0.292436,0.358192,-0.023875,0.231706,0.000192,0.000090,-0.000290,1.000000,0.139325,-0.066133,0.261567,0.114262,-0.052567,0.254542,0.154877,-0.070574,0.229094,0.148837,-0.075259,0.301065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373691,-0.031750,0.320672,0.353868,-0.030159,0.292529,0.358232,-0.023853,0.231508,0.114245,-0.052556,0.254526,0.154881,-0.070577,0.229102,0.148848,-0.075266,0.301073
15,0.125000,-0.065622,0.017641,-0.013881,0.997592,0.361913,-0.028570,0.281560,0.373540,-0.031739,0.320534,0.354016,-0.030099,0.292441,0.358184,-0.023873,0.231704,0.000178,0.000045,-0.000455,1.000000,0.139341,-0.066126,0.261568,0.114283,-0.052551,0.254540,0.154894,-0.070572,0.229097,0.148846,-0.075254,0.301067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373711,-0.031742,0.320659,0.353882,-0.030116,0.292539,0.358225,-0.023850,0.231497,0.114285,-0.052551,0.254534,0.154888,-0.070570,0.229105,0.148848,-0.075255,0.301067
16,0.133000,-0.065583,0.017458,-0.012534,0.997616,0.361928,-0.028578,0.281556,0.373555,-0.031720,0.320532,0.354032,-0.030129,0.292435,0.358195,-0.023884,0.231700,0.000058,0.000198,-0.000457,1.000000,0.139332,-0.066148,0.261571,0.114271,-0.052575,0.254547,0.154875,-0.070602,0.229096,0.148849,-0.075266,0.301069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373737,-0.031721,0.320663,0.353891,-0.030147,0.292531,0.358238,-0.023862,0.231497,0.114270,-0.052573,0.254533,0.154866,-0.070598,0.229099,0.148854,-0.075270,0.301078
17,0.142000,-0.065400,0.017439,-0.012870,0.997624,0.361918,-0.028575,0.281557,0.373540,-0.031739,0.320533,0.354020,-0.030125,0.292435,0.358193,-0.023862,0.231703,-0.000088,0.000098,-0.000019,1.000000,0.139332,-0.066154,0.261578,0.114261,-0.052605,0.254546,0.154886,-0.070604,0.229108,0.148849,-0.075252,0.301081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373728,-0.031742,0.320679,0.353877,-0.030143,0.292528,0.358234,-0.023839,0.231496,0.114259,-0.052604,0.254550,0.154889,-0.070608,0.229125,0.148849,-0.075251,0.301068
18,0.150000,-0.065543,0.017388,-0.013357,0.997609,0.361905,-0.028588,0.281563,0.373518,-0.031751,0.320542,0.354005,-0.030127,0.292440,0.358193,-0.023886,0.231707,-0.000176,0.000287,-0.000321,1.000000,0.139323,-0.066148,0.261576,0.114258,-0.052585,0.254551,0.154862,-0.070613,0.229101,0.148850,-0.075245,0.301077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373710,-0.031755,0.320696,0.353860,-0.030144,0.292534,0.358234,-0.023863,0.231494,0.114258,-0.052584,0.254552,0.154862,-0.070614,0.229113,0.148851,-0.075245,0.301070
