Format Version,1.23,Take Name,Apr17_Sand_No_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.48.59.329 PM,Capture Start Frame,7883025,Total Frames in Take,6803,Total Exported Frames,6803,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.000246,-0.000141,0.000343,1.000000,0.341319,-0.027059,0.311101,0.338115,-0.026967,0.260810,0.333106,-0.027816,0.321978,0.352737,-0.026393,0.350514,0.000217,-0.000108,-0.000600,1.000000,0.121015,-0.064160,0.292851,0.137289,-0.070206,0.260817,0.129444,-0.071639,0.332933,0.096311,-0.050636,0.284805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338117,-0.026967,0.260825,0.333094,-0.027817,0.321959,0.352749,-0.026392,0.350519,0.137295,-0.070208,0.260803,0.129439,-0.071637,0.332935,0.096312,-0.050637,0.284813
7,0.058000,0.000395,-0.000313,0.000013,1.000000,0.341316,-0.027066,0.311099,0.338129,-0.026957,0.260807,0.333098,-0.027822,0.321974,0.352721,-0.026420,0.350516,0.000159,-0.000282,-0.000151,1.000000,0.120987,-0.064172,0.292845,0.137278,-0.070207,0.260816,0.129409,-0.071638,0.332930,0.096274,-0.050670,0.284788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338127,-0.026957,0.260812,0.333093,-0.027822,0.321953,0.352730,-0.026419,0.350535,0.137298,-0.070218,0.260816,0.129418,-0.071643,0.332932,0.096249,-0.050657,0.284786
8,0.067000,0.000249,-0.000294,-0.000535,1.000000,0.341320,-0.027061,0.311104,0.338131,-0.026963,0.260812,0.333102,-0.027804,0.321979,0.352727,-0.026416,0.350521,0.000294,-0.000179,-0.000159,1.000000,0.120999,-0.064161,0.292858,0.137284,-0.070188,0.260825,0.129430,-0.071639,0.332939,0.096285,-0.050658,0.284811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338127,-0.026964,0.260824,0.333108,-0.027804,0.321962,0.352724,-0.026416,0.350528,0.137298,-0.070195,0.260821,0.129426,-0.071636,0.332930,0.096278,-0.050655,0.284823
9,0.075000,0.000167,-0.000157,-0.000154,1.000000,0.341320,-0.027051,0.311096,0.338117,-0.026964,0.260805,0.333105,-0.027799,0.321974,0.352737,-0.026391,0.350510,0.000111,-0.000120,-0.000222,1.000000,0.121015,-0.064177,0.292844,0.137295,-0.070218,0.260811,0.129449,-0.071641,0.332927,0.096302,-0.050673,0.284794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338115,-0.026964,0.260813,0.333104,-0.027799,0.321958,0.352740,-0.026390,0.350520,0.137308,-0.070225,0.260810,0.129453,-0.071643,0.332926,0.096288,-0.050666,0.284796
10,0.083000,0.000434,-0.000322,0.000144,1.000000,0.341327,-0.027035,0.311102,0.338141,-0.026923,0.260810,0.333110,-0.027793,0.321977,0.352731,-0.026389,0.350520,0.000305,-0.000037,-0.000046,1.000000,0.121006,-0.064176,0.292845,0.137282,-0.070199,0.260807,0.129449,-0.071652,0.332924,0.096286,-0.050678,0.284805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338138,-0.026923,0.260800,0.333102,-0.027794,0.321958,0.352745,-0.026388,0.350556,0.137302,-0.070209,0.260808,0.129454,-0.071655,0.332919,0.096266,-0.050668,0.284809
11,0.092000,0.000118,-0.000229,0.000664,1.000000,0.341331,-0.027050,0.311102,0.338135,-0.026973,0.260810,0.333116,-0.027810,0.321978,0.352741,-0.026367,0.350516,0.000207,-0.000085,-0.000483,1.000000,0.121009,-0.064183,0.292834,0.137283,-0.070226,0.260799,0.129442,-0.071659,0.332915,0.096302,-0.050665,0.284789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338134,-0.026973,0.260820,0.333114,-0.027810,0.321963,0.352745,-0.026366,0.350522,0.137302,-0.070236,0.260799,0.129455,-0.071666,0.332924,0.096274,-0.050650,0.284780
12,0.100000,0.000072,-0.000073,-0.000133,1.000000,0.341325,-0.027045,0.311098,0.338114,-0.026967,0.260807,0.333113,-0.027791,0.321977,0.352749,-0.026377,0.350509,0.000339,-0.000292,-0.000096,1.000000,0.121011,-0.064146,0.292844,0.137303,-0.070168,0.260814,0.129433,-0.071626,0.332927,0.096297,-0.050645,0.284792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338119,-0.026967,0.260822,0.333101,-0.027792,0.321972,0.352757,-0.026376,0.350496,0.137305,-0.070169,0.260812,0.129438,-0.071629,0.332935,0.096290,-0.050641,0.284785
13,0.108000,0.000214,-0.000117,0.001096,0.999999,0.341324,-0.027033,0.311089,0.338117,-0.026949,0.260799,0.333113,-0.027802,0.321968,0.352743,-0.026348,0.350502,-0.000041,-0.000066,-0.000359,1.000000,0.121014,-0.064172,0.292846,0.137289,-0.070227,0.260813,0.129451,-0.071626,0.332931,0.096304,-0.050664,0.284795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338121,-0.026949,0.260810,0.333101,-0.027803,0.321958,0.352753,-0.026347,0.350499,0.137303,-0.070233,0.260803,0.129454,-0.071628,0.332938,0.096289,-0.050656,0.284796
14,0.117000,0.000289,-0.000301,-0.000219,1.000000,0.341317,-0.027029,0.311094,0.338128,-0.026929,0.260802,0.333099,-0.027778,0.321969,0.352723,-0.026379,0.350510,0.000187,-0.000198,0.000311,1.000000,0.120995,-0.064156,0.292838,0.137286,-0.070174,0.260806,0.129431,-0.071616,0.332921,0.096268,-0.050677,0.284786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338118,-0.026929,0.260788,0.333120,-0.027776,0.321963,0.352709,-0.026381,0.350535,0.137296,-0.070180,0.260812,0.129444,-0.071624,0.332929,0.096247,-0.050665,0.284773
15,0.125000,0.000081,-0.000335,-0.000639,1.000000,0.341336,-0.027037,0.311094,0.338151,-0.026956,0.260802,0.333117,-0.027775,0.321969,0.352740,-0.026381,0.350511,0.000117,-0.000094,-0.000192,1.000000,0.121007,-0.064175,0.292839,0.137285,-0.070214,0.260805,0.129443,-0.071638,0.332922,0.096292,-0.050672,0.284791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338156,-0.026955,0.260820,0.333106,-0.027776,0.321960,0.352748,-0.026381,0.350501,0.137300,-0.070222,0.260805,0.129454,-0.071644,0.332929,0.096270,-0.050661,0.284784
