Format Version,1.23,Take Name,Apr17_Sand_No_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.48.59.329 PM,Capture Start Frame,7883025,Total Frames in Take,6803,Total Exported Frames,6803,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1212,10.100000,0.001461,-0.001028,0.001305,0.999998,0.341406,-0.026977,0.311121,0.338290,-0.026769,0.260825,0.333175,-0.027777,0.321982,0.352752,-0.026385,0.350556,0.000418,-0.000720,-0.000462,1.000000,0.121002,-0.064173,0.292815,0.137317,-0.070201,0.260798,0.129385,-0.071665,0.332904,0.096305,-0.050652,0.284744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338299,-0.026768,0.260826,0.333161,-0.027778,0.321997,0.352760,-0.026385,0.350538,0.137302,-0.070194,0.260806,0.129389,-0.071668,0.332911,0.096312,-0.050655,0.284731
1213,10.108000,0.001564,-0.001154,0.002086,0.999996,0.341390,-0.026988,0.311122,0.338287,-0.026775,0.260825,0.333158,-0.027803,0.321981,0.352726,-0.026387,0.350560,0.000562,-0.000788,-0.000236,1.000000,0.120992,-0.064182,0.292825,0.137314,-0.070194,0.260808,0.129372,-0.071682,0.332913,0.096289,-0.050670,0.284755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338303,-0.026773,0.260832,0.333140,-0.027805,0.322007,0.352734,-0.026386,0.350518,0.137306,-0.070190,0.260808,0.129374,-0.071684,0.332920,0.096292,-0.050671,0.284747
1214,10.117000,0.001649,-0.001079,0.003019,0.999994,0.341394,-0.026997,0.311106,0.338283,-0.026781,0.260810,0.333165,-0.027829,0.321966,0.352735,-0.026381,0.350542,0.000263,-0.000778,-0.000117,1.000000,0.120986,-0.064196,0.292819,0.137309,-0.070223,0.260806,0.129368,-0.071669,0.332911,0.096280,-0.050694,0.284741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338303,-0.026779,0.260821,0.333133,-0.027832,0.321985,0.352755,-0.026379,0.350506,0.137305,-0.070221,0.260806,0.129372,-0.071672,0.332918,0.096279,-0.050693,0.284734
1215,10.125000,0.001723,-0.001095,0.002268,0.999995,0.341401,-0.027003,0.311101,0.338291,-0.026775,0.260805,0.333169,-0.027824,0.321961,0.352741,-0.026410,0.350538,0.000148,-0.000324,0.000093,1.000000,0.120989,-0.064226,0.292824,0.137286,-0.070254,0.260797,0.129411,-0.071687,0.332910,0.096270,-0.050737,0.284765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338315,-0.026773,0.260825,0.333128,-0.027828,0.321975,0.352769,-0.026408,0.350501,0.137280,-0.070250,0.260786,0.129410,-0.071687,0.332921,0.096276,-0.050740,0.284762
1216,10.133000,0.001797,-0.001201,0.002127,0.999995,0.341390,-0.027008,0.311121,0.338291,-0.026771,0.260824,0.333156,-0.027828,0.321979,0.352722,-0.026424,0.350560,0.000510,-0.000797,0.000374,1.000000,0.120992,-0.064196,0.292819,0.137322,-0.070192,0.260803,0.129381,-0.071682,0.332907,0.096273,-0.050715,0.284747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338309,-0.026770,0.260831,0.333128,-0.027831,0.321998,0.352739,-0.026422,0.350529,0.137297,-0.070179,0.260805,0.129382,-0.071683,0.332921,0.096291,-0.050723,0.284732
1217,10.142000,0.001772,-0.001178,0.002956,0.999993,0.341391,-0.027009,0.311126,0.338290,-0.026780,0.260829,0.333159,-0.027842,0.321984,0.352723,-0.026404,0.350565,0.000442,-0.000647,-0.000361,1.000000,0.120984,-0.064215,0.292824,0.137296,-0.070239,0.260804,0.129374,-0.071707,0.332911,0.096283,-0.050699,0.284758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338313,-0.026778,0.260833,0.333113,-0.027847,0.322001,0.352757,-0.026401,0.350540,0.137306,-0.070243,0.260796,0.129384,-0.071714,0.332928,0.096265,-0.050689,0.284746
1218,10.150000,0.001627,-0.001151,0.003102,0.999993,0.341390,-0.026987,0.311118,0.338286,-0.026773,0.260822,0.333159,-0.027819,0.321977,0.352725,-0.026367,0.350556,0.000779,-0.000705,0.000039,1.000000,0.121007,-0.064182,0.292825,0.137327,-0.070171,0.260802,0.129398,-0.071695,0.332907,0.096295,-0.050680,0.284764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338303,-0.026772,0.260836,0.333132,-0.027822,0.321989,0.352742,-0.026365,0.350527,0.137316,-0.070166,0.260808,0.129406,-0.071700,0.332920,0.096295,-0.050679,0.284747
1219,10.158000,0.001816,-0.001404,0.002352,0.999995,0.341385,-0.027018,0.311127,0.338307,-0.026781,0.260829,0.333147,-0.027843,0.321981,0.352700,-0.026431,0.350571,0.000597,-0.000624,-0.000660,0.999999,0.121019,-0.064163,0.292839,0.137326,-0.070187,0.260817,0.129406,-0.071673,0.332924,0.096326,-0.050630,0.284778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338321,-0.026780,0.260831,0.333121,-0.027845,0.321997,0.352718,-0.026429,0.350548,0.137320,-0.070183,0.260807,0.129401,-0.071671,0.332928,0.096335,-0.050635,0.284781
1220,10.167000,0.001667,-0.001086,0.002921,0.999994,0.341400,-0.026993,0.311142,0.338290,-0.026774,0.260846,0.333171,-0.027823,0.322002,0.352740,-0.026380,0.350579,0.000262,-0.000719,0.000419,1.000000,0.120997,-0.064190,0.292836,0.137322,-0.070200,0.260821,0.129392,-0.071655,0.332927,0.096275,-0.050715,0.284761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338304,-0.026773,0.260844,0.333147,-0.027826,0.322021,0.352756,-0.026379,0.350558,0.137318,-0.070198,0.260825,0.129391,-0.071654,0.332924,0.096279,-0.050717,0.284761
1221,10.175000,0.001520,-0.001234,0.002573,0.999995,0.341401,-0.026992,0.311136,0.338305,-0.026786,0.260839,0.333167,-0.027814,0.321994,0.352729,-0.026377,0.350576,0.000638,-0.000476,-0.000320,1.000000,0.120999,-0.064193,0.292846,0.137300,-0.070203,0.260818,0.129403,-0.071701,0.332927,0.096294,-0.050676,0.284793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338313,-0.026786,0.260843,0.333159,-0.027815,0.322008,0.352732,-0.026376,0.350554,0.137298,-0.070201,0.260813,0.129408,-0.071704,0.332940,0.096291,-0.050673,0.284783
1222,10.183000,0.001639,-0.001127,0.002719,0.999994,0.341383,-0.026994,0.311136,0.338277,-0.026777,0.260839,0.333152,-0.027821,0.321995,0.352720,-0.026384,0.350573,0.000913,-0.000562,0.000038,0.999999,0.121008,-0.064200,0.292832,0.137319,-0.070181,0.260803,0.129410,-0.071723,0.332910,0.096294,-0.050696,0.284782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338293,-0.026776,0.260845,0.333124,-0.027823,0.322010,0.352739,-0.026382,0.350550,0.137311,-0.070177,0.260816,0.129425,-0.071732,0.332924,0.096286,-0.050690,0.284759
1223,10.192000,0.001684,-0.001422,0.002349,0.999995,0.341395,-0.026993,0.311134,0.338319,-0.026769,0.260835,0.333157,-0.027815,0.321988,0.352709,-0.026396,0.350578,0.000797,-0.000495,-0.000000,1.000000,0.121008,-0.064183,0.292844,0.137315,-0.070172,0.260815,0.129415,-0.071697,0.332923,0.096295,-0.050679,0.284795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338331,-0.026768,0.260852,0.333132,-0.027817,0.321988,0.352727,-0.026394,0.350560,0.137307,-0.070169,0.260818,0.129420,-0.071700,0.332931,0.096296,-0.050679,0.284785
1224,10.200000,0.001619,-0.001195,0.002481,0.999995,0.341404,-0.026978,0.311143,0.338304,-0.026762,0.260846,0.333171,-0.027801,0.322001,0.352736,-0.026372,0.350582,0.000747,-0.000573,-0.000571,0.999999,0.121009,-0.064170,0.292841,0.137314,-0.070181,0.260815,0.129402,-0.071690,0.332922,0.096313,-0.050639,0.284786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338318,-0.026760,0.260844,0.333153,-0.027802,0.322026,0.352744,-0.026371,0.350552,0.137310,-0.070179,0.260818,0.129408,-0.071694,0.332931,0.096309,-0.050636,0.284775
1225,10.208000,0.001802,-0.001037,0.003012,0.999993,0.341401,-0.026989,0.311140,0.338286,-0.026758,0.260844,0.333173,-0.027825,0.322000,0.352745,-0.026386,0.350575,0.000634,-0.000563,0.000224,1.000000,0.121008,-0.064183,0.292839,0.137321,-0.070175,0.260814,0.129413,-0.071680,0.332922,0.096289,-0.050692,0.284782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338304,-0.026757,0.260870,0.333152,-0.027827,0.322018,0.352754,-0.026385,0.350525,0.137322,-0.070176,0.260816,0.129421,-0.071685,0.332931,0.096280,-0.050687,0.284771
1226,10.217000,0.001580,-0.000969,0.002733,0.999995,0.341406,-0.026983,0.311135,0.338284,-0.026772,0.260840,0.333178,-0.027809,0.321997,0.352755,-0.026369,0.350569,0.000804,-0.000431,-0.000181,1.000000,0.121009,-0.064164,0.292840,0.137309,-0.070158,0.260809,0.129418,-0.071682,0.332918,0.096299,-0.050651,0.284794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338294,-0.026772,0.260843,0.333165,-0.027810,0.322013,0.352762,-0.026368,0.350546,0.137302,-0.070154,0.260798,0.129420,-0.071684,0.332935,0.096302,-0.050651,0.284786
1227,10.225000,0.001666,-0.001383,0.001917,0.999996,0.341378,-0.027010,0.311137,0.338298,-0.026785,0.260839,0.333141,-0.027824,0.321992,0.352696,-0.026421,0.350580,0.000890,-0.000501,0.000172,1.000000,0.120994,-0.064170,0.292829,0.137303,-0.070148,0.260798,0.129403,-0.071689,0.332906,0.096276,-0.050673,0.284781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338309,-0.026784,0.260825,0.333119,-0.027826,0.322009,0.352712,-0.026419,0.350575,0.137291,-0.070141,0.260797,0.129404,-0.071690,0.332915,0.096284,-0.050677,0.284773
1228,10.233000,0.002099,-0.001417,0.003505,0.999991,0.341370,-0.027013,0.311149,0.338293,-0.026755,0.260851,0.333134,-0.027863,0.322002,0.352683,-0.026422,0.350593,0.000469,-0.000342,0.000205,1.000000,0.120983,-0.064175,0.292849,0.137282,-0.070178,0.260818,0.129405,-0.071660,0.332930,0.096261,-0.050686,0.284798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338302,-0.026754,0.260857,0.333112,-0.027865,0.322002,0.352701,-0.026420,0.350586,0.137290,-0.070181,0.260800,0.129409,-0.071663,0.332948,0.096251,-0.050680,0.284794
1229,10.242000,0.001721,-0.001193,0.002100,0.999996,0.341375,-0.027016,0.311124,0.338275,-0.026787,0.260827,0.333141,-0.027834,0.321982,0.352707,-0.026427,0.350563,0.000392,-0.000246,-0.000232,1.000000,0.120993,-0.064179,0.292837,0.137281,-0.070201,0.260805,0.129417,-0.071665,0.332918,0.096282,-0.050669,0.284789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338291,-0.026786,0.260839,0.333113,-0.027837,0.321992,0.352727,-0.026425,0.350540,0.137285,-0.070203,0.260795,0.129422,-0.071668,0.332932,0.096274,-0.050665,0.284782
1230,10.250000,0.002005,-0.001087,0.003211,0.999992,0.341388,-0.026990,0.311133,0.338278,-0.026739,0.260837,0.333159,-0.027833,0.321992,0.352728,-0.026398,0.350570,0.000350,-0.000380,-0.000094,1.000000,0.120988,-0.064179,0.292833,0.137286,-0.070200,0.260806,0.129403,-0.071660,0.332917,0.096275,-0.050678,0.284777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338301,-0.026738,0.260870,0.333126,-0.027836,0.322009,0.352747,-0.026396,0.350515,0.137285,-0.070198,0.260788,0.129403,-0.071661,0.332935,0.096275,-0.050677,0.284773
1231,10.258000,0.001643,-0.001266,0.003519,0.999992,0.341386,-0.027017,0.311134,0.338294,-0.026804,0.260837,0.333154,-0.027857,0.321991,0.352711,-0.026389,0.350575,0.000666,-0.000275,0.000148,1.000000,0.120995,-0.064189,0.292835,0.137289,-0.070182,0.260800,0.129422,-0.071691,0.332912,0.096274,-0.050695,0.284793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338316,-0.026802,0.260845,0.333118,-0.027860,0.322014,0.352735,-0.026387,0.350537,0.137281,-0.070178,0.260797,0.129440,-0.071703,0.332946,0.096261,-0.050686,0.284761
1232,10.267000,0.001951,-0.001042,0.003377,0.999992,0.341389,-0.027004,0.311128,0.338274,-0.026759,0.260832,0.333161,-0.027848,0.321989,0.352732,-0.026403,0.350564,0.000546,-0.000165,-0.000141,1.000000,0.120998,-0.064183,0.292840,0.137282,-0.070193,0.260803,0.129430,-0.071680,0.332917,0.096283,-0.050676,0.284800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338293,-0.026758,0.260856,0.333130,-0.027851,0.321999,0.352751,-0.026401,0.350527,0.137282,-0.070192,0.260797,0.129438,-0.071685,0.332934,0.096275,-0.050671,0.284788
1233,10.275000,0.001873,-0.001164,0.003963,0.999990,0.341386,-0.027000,0.311133,0.338284,-0.026767,0.260836,0.333156,-0.027852,0.321991,0.352719,-0.026380,0.350571,0.000418,-0.000100,-0.000215,1.000000,0.121002,-0.064183,0.292851,0.137281,-0.070204,0.260813,0.129438,-0.071671,0.332929,0.096288,-0.050675,0.284811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338303,-0.026765,0.260847,0.333119,-0.027856,0.322003,0.352746,-0.026378,0.350545,0.137289,-0.070208,0.260808,0.129451,-0.071679,0.332948,0.096269,-0.050664,0.284796
1234,10.283000,0.001478,-0.001314,0.002271,0.999995,0.341374,-0.026999,0.311143,0.338287,-0.026795,0.260845,0.333138,-0.027815,0.321999,0.352697,-0.026387,0.350584,0.000353,-0.000119,-0.000398,1.000000,0.120997,-0.064177,0.292854,0.137274,-0.070208,0.260818,0.129428,-0.071663,0.332933,0.096288,-0.050661,0.284811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338293,-0.026795,0.260853,0.333122,-0.027816,0.321996,0.352709,-0.026386,0.350580,0.137282,-0.070211,0.260802,0.129424,-0.071661,0.332937,0.096287,-0.050661,0.284819
1235,10.292000,0.001594,-0.001009,0.003244,0.999993,0.341383,-0.027004,0.311131,0.338265,-0.026795,0.260835,0.333156,-0.027838,0.321992,0.352729,-0.026379,0.350566,0.000230,-0.000069,-0.000928,1.000000,0.121017,-0.064182,0.292857,0.137285,-0.070238,0.260821,0.129445,-0.071667,0.332937,0.096322,-0.050641,0.284813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338287,-0.026793,0.260848,0.333116,-0.027842,0.322007,0.352757,-0.026376,0.350535,0.137285,-0.070236,0.260797,0.129438,-0.071664,0.332949,0.096328,-0.050645,0.284819
1236,10.300000,0.001760,-0.001197,0.002527,0.999995,0.341390,-0.027009,0.311130,0.338291,-0.026779,0.260833,0.333157,-0.027835,0.321988,0.352722,-0.026413,0.350569,0.000518,-0.000112,0.000038,1.000000,0.121011,-0.064169,0.292854,0.137293,-0.070175,0.260816,0.129449,-0.071661,0.332931,0.096290,-0.050672,0.284816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338302,-0.026778,0.260836,0.333143,-0.027837,0.322004,0.352729,-0.026412,0.350545,0.137295,-0.070176,0.260806,0.129447,-0.071660,0.332936,0.096290,-0.050672,0.284819
1237,10.308000,0.001740,-0.001186,0.003003,0.999993,0.341382,-0.027000,0.311148,0.338281,-0.026774,0.260852,0.333150,-0.027833,0.322007,0.352714,-0.026391,0.350587,0.000563,-0.000078,-0.000151,1.000000,0.121015,-0.064195,0.292863,0.137293,-0.070204,0.260823,0.129454,-0.071694,0.332939,0.096299,-0.050687,0.284828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338297,-0.026773,0.260864,0.333126,-0.027836,0.322021,0.352728,-0.026390,0.350556,0.137305,-0.070210,0.260808,0.129455,-0.071695,0.332947,0.096290,-0.050683,0.284830
1238,10.317000,0.001528,-0.001092,0.001965,0.999996,0.341377,-0.027008,0.311137,0.338267,-0.026798,0.260840,0.333145,-0.027820,0.321997,0.352717,-0.026407,0.350573,0.000415,-0.000383,0.000087,1.000000,0.121005,-0.064168,0.292845,0.137305,-0.070179,0.260817,0.129422,-0.071650,0.332928,0.096287,-0.050674,0.284791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338282,-0.026797,0.260841,0.333122,-0.027823,0.322020,0.352730,-0.026406,0.350543,0.137302,-0.070176,0.260808,0.129426,-0.071653,0.332943,0.096286,-0.050673,0.284782
1239,10.325000,0.001744,-0.001266,0.002316,0.999995,0.341378,-0.026996,0.311144,0.338286,-0.026766,0.260847,0.333143,-0.027818,0.322001,0.352705,-0.026404,0.350585,0.000400,-0.000079,-0.000508,1.000000,0.120993,-0.064152,0.292869,0.137266,-0.070183,0.260831,0.129426,-0.071643,0.332947,0.096286,-0.050629,0.284829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338298,-0.026765,0.260858,0.333130,-0.027820,0.322021,0.352709,-0.026403,0.350548,0.137288,-0.070192,0.260805,0.129416,-0.071638,0.332945,0.096280,-0.050627,0.284850
1240,10.333000,0.001451,-0.001165,0.002228,0.999996,0.341389,-0.026972,0.311143,0.338287,-0.026770,0.260846,0.333156,-0.027786,0.322002,0.352723,-0.026358,0.350581,0.000657,-0.000279,-0.000583,1.000000,0.120988,-0.064151,0.292868,0.137273,-0.070168,0.260833,0.129404,-0.071664,0.332945,0.096287,-0.050620,0.284825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338291,-0.026770,0.260846,0.333150,-0.027787,0.322011,0.352725,-0.026358,0.350568,0.137303,-0.070182,0.260802,0.129392,-0.071658,0.332940,0.096276,-0.050617,0.284853
1241,10.342000,0.001867,-0.001096,0.003640,0.999991,0.341390,-0.026991,0.311129,0.338281,-0.026757,0.260833,0.333161,-0.027838,0.321988,0.352729,-0.026378,0.350566,0.000611,-0.000037,-0.000398,1.000000,0.121012,-0.064154,0.292860,0.137284,-0.070168,0.260818,0.129450,-0.071660,0.332934,0.096302,-0.050633,0.284828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338302,-0.026755,0.260855,0.333129,-0.027841,0.322007,0.352748,-0.026376,0.350520,0.137279,-0.070164,0.260810,0.129443,-0.071656,0.332934,0.096313,-0.050640,0.284834
1242,10.350000,0.001755,-0.000961,0.002681,0.999994,0.341391,-0.027012,0.311117,0.338268,-0.026783,0.260822,0.333164,-0.027841,0.321979,0.352742,-0.026412,0.350551,0.000488,0.000038,-0.000356,1.000000,0.120989,-0.064190,0.292850,0.137257,-0.070210,0.260807,0.129433,-0.071686,0.332924,0.096276,-0.050673,0.284818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338294,-0.026781,0.260833,0.333116,-0.027845,0.321997,0.352775,-0.026409,0.350515,0.137266,-0.070214,0.260794,0.129442,-0.071692,0.332944,0.096260,-0.050664,0.284808
1243,10.358000,0.001419,-0.001135,0.002573,0.999995,0.341387,-0.026985,0.311122,0.338282,-0.026789,0.260825,0.333156,-0.027805,0.321981,0.352724,-0.026362,0.350559,0.000482,-0.000241,-0.000485,1.000000,0.121005,-0.064165,0.292855,0.137289,-0.070190,0.260821,0.129425,-0.071663,0.332934,0.096301,-0.050642,0.284809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338288,-0.026789,0.260832,0.333152,-0.027805,0.321995,0.352722,-0.026362,0.350535,0.137285,-0.070186,0.260799,0.129417,-0.071659,0.332945,0.096312,-0.050649,0.284815
1244,10.367000,0.001886,-0.000945,0.004036,0.999990,0.341383,-0.026989,0.311124,0.338258,-0.026756,0.260829,0.333158,-0.027843,0.321986,0.352733,-0.026369,0.350558,0.000271,-0.000219,-0.000068,1.000000,0.120997,-0.064185,0.292850,0.137285,-0.070211,0.260818,0.129426,-0.071659,0.332932,0.096281,-0.050686,0.284800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338283,-0.026754,0.260848,0.333122,-0.027847,0.322016,0.352753,-0.026366,0.350500,0.137282,-0.070208,0.260803,0.129423,-0.071659,0.332944,0.096286,-0.050689,0.284799
1245,10.375000,0.001833,-0.001244,0.003709,0.999991,0.341387,-0.026992,0.311128,0.338293,-0.026761,0.260831,0.333155,-0.027839,0.321985,0.352714,-0.026375,0.350568,0.000100,0.000129,-0.000365,1.000000,0.121007,-0.064198,0.292859,0.137269,-0.070243,0.260818,0.129458,-0.071663,0.332938,0.096293,-0.050687,0.284822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338309,-0.026760,0.260853,0.333129,-0.027841,0.321992,0.352731,-0.026373,0.350539,0.137283,-0.070250,0.260802,0.129463,-0.071666,0.332952,0.096277,-0.050678,0.284820
1246,10.383000,0.001650,-0.000955,0.002522,0.999995,0.341379,-0.026995,0.311124,0.338256,-0.026775,0.260828,0.333151,-0.027818,0.321986,0.352730,-0.026390,0.350557,0.000594,-0.000253,-0.000522,1.000000,0.121000,-0.064186,0.292865,0.137285,-0.070205,0.260830,0.129419,-0.071693,0.332943,0.096297,-0.050659,0.284822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338268,-0.026774,0.260845,0.333139,-0.027820,0.322002,0.352733,-0.026390,0.350520,0.137288,-0.070205,0.260806,0.129411,-0.071690,0.332952,0.096302,-0.050663,0.284831
1247,10.392000,0.001723,-0.001097,0.002841,0.999994,0.341380,-0.026997,0.311128,0.338271,-0.026772,0.260832,0.333150,-0.027827,0.321988,0.352719,-0.026391,0.350565,0.000516,0.000051,-0.001099,0.999999,0.121013,-0.064202,0.292856,0.137271,-0.070245,0.260813,0.129447,-0.071713,0.332930,0.096320,-0.050648,0.284826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338296,-0.026770,0.260866,0.333108,-0.027831,0.321996,0.352747,-0.026388,0.350521,0.137276,-0.070246,0.260794,0.129451,-0.071716,0.332950,0.096313,-0.050644,0.284821
1248,10.400000,0.001699,-0.001315,0.002028,0.999996,0.341390,-0.026984,0.311132,0.338303,-0.026756,0.260834,0.333153,-0.027800,0.321988,0.352713,-0.026394,0.350574,0.000693,-0.000018,-0.000651,1.000000,0.121011,-0.064157,0.292871,0.137279,-0.070174,0.260827,0.129447,-0.071674,0.332943,0.096308,-0.050622,0.284842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338318,-0.026755,0.260846,0.333130,-0.027803,0.322006,0.352726,-0.026393,0.350540,0.137290,-0.070179,0.260821,0.129442,-0.071671,0.332935,0.096304,-0.050621,0.284855
1249,10.408000,0.001946,-0.001399,0.002570,0.999994,0.341377,-0.027003,0.311145,0.338298,-0.026754,0.260847,0.333140,-0.027834,0.321999,0.352693,-0.026421,0.350589,0.000540,0.000144,-0.000357,1.000000,0.121006,-0.064188,0.292869,0.137267,-0.070206,0.260822,0.129459,-0.071689,0.332941,0.096292,-0.050671,0.284844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338310,-0.026754,0.260868,0.333117,-0.027837,0.321997,0.352709,-0.026420,0.350571,0.137278,-0.070210,0.260797,0.129452,-0.071685,0.332947,0.096292,-0.050672,0.284857
1250,10.417000,0.002074,-0.001397,0.002654,0.999993,0.341387,-0.027000,0.311149,0.338308,-0.026738,0.260851,0.333150,-0.027835,0.322004,0.352703,-0.026426,0.350593,0.000302,0.000368,-0.000599,1.000000,0.121009,-0.064177,0.292891,0.137253,-0.070217,0.260839,0.129476,-0.071662,0.332962,0.096297,-0.050651,0.284870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338318,-0.026737,0.260855,0.333132,-0.027836,0.322012,0.352715,-0.026424,0.350579,0.137271,-0.070225,0.260814,0.129471,-0.071660,0.332969,0.096289,-0.050648,0.284883
1251,10.425000,0.001779,-0.001209,0.002809,0.999994,0.341391,-0.026995,0.311139,0.338293,-0.026764,0.260842,0.333158,-0.027826,0.321997,0.352721,-0.026394,0.350578,0.000705,0.000698,-0.000671,0.999999,0.121004,-0.064178,0.292899,0.137226,-0.070195,0.260832,0.129497,-0.071697,0.332959,0.096289,-0.050643,0.284906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338313,-0.026763,0.260860,0.333125,-0.027829,0.322013,0.352742,-0.026392,0.350540,0.137254,-0.070207,0.260794,0.129496,-0.071698,0.332977,0.096269,-0.050633,0.284916
1252,10.433000,0.001965,-0.001199,0.003443,0.999991,0.341379,-0.027007,0.311126,0.338280,-0.026762,0.260829,0.333147,-0.027853,0.321983,0.352709,-0.026406,0.350565,0.000870,0.000569,-0.000287,0.999999,0.120987,-0.064130,0.292900,0.137221,-0.070124,0.260835,0.129475,-0.071655,0.332960,0.096264,-0.050611,0.284905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338297,-0.026760,0.260830,0.333119,-0.027855,0.322006,0.352726,-0.026404,0.350535,0.137218,-0.070118,0.260784,0.129458,-0.071649,0.332984,0.096283,-0.050622,0.284918
1253,10.442000,0.001694,-0.001319,0.003060,0.999993,0.341374,-0.026989,0.311136,0.338287,-0.026768,0.260839,0.333140,-0.027823,0.321992,0.352696,-0.026376,0.350578,0.000834,0.000966,-0.000874,0.999999,0.121005,-0.064162,0.292924,0.137207,-0.070178,0.260847,0.129516,-0.071695,0.332978,0.096292,-0.050615,0.284948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338301,-0.026767,0.260845,0.333115,-0.027825,0.322000,0.352714,-0.026374,0.350562,0.137236,-0.070189,0.260801,0.129508,-0.071692,0.332992,0.096279,-0.050610,0.284968
