Format Version,1.23,Take Name,July2_Des_T1,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-07-07 06.01.23.450 PM,Capture Start Frame,-2147483648,Total Frames in Take,3834,Total Exported Frames,3834,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.049620,0.013552,-0.064530,0.996589,145.413910,-135.169632,1138.754761,184.456375,-145.019043,1126.188843,138.645370,-120.491951,1162.185181,113.139862,-139.997864,1127.889893,0.995060,0.023469,-0.051550,0.081537,130.095535,-92.537018,935.920288,158.857178,-90.517227,934.122070,113.735023,-92.744255,915.272766,117.694344,-94.349533,958.366150,184.544556,-145.053528,1126.140503,138.448517,-120.537720,1162.092163,113.200439,-139.929169,1128.008057,159.846542,-90.459442,934.329224,111.530830,-92.877975,914.924805,117.547203,-94.357048,958.310730,,,,,,,,,,,,
7,0.029000,-0.050505,0.013510,-0.064439,0.996551,145.382904,-135.145676,1138.724609,184.426895,-145.009384,1126.174561,138.612320,-120.427940,1162.129272,113.109428,-139.999710,1127.869629,0.995043,0.023523,-0.051420,0.081800,130.095993,-92.533989,935.902527,158.857773,-90.510628,934.110840,113.740906,-92.754425,915.250854,117.689194,-94.336891,958.346069,184.516754,-145.037674,1126.136719,138.443115,-120.480789,1162.027710,113.155098,-139.929214,1127.988770,159.833420,-90.453400,934.315613,111.531601,-92.888992,914.902893,117.542740,-94.344398,958.290283,,,,,,,,,,,,
8,0.033000,-0.050272,0.013470,-0.064359,0.996569,145.372025,-135.153534,1138.721313,184.418823,-145.005219,1126.170776,138.596695,-120.447716,1162.132324,113.100410,-140.007660,1127.860840,0.995050,0.023523,-0.051340,0.081771,130.096878,-92.544647,935.888611,158.858932,-90.520844,934.101562,113.745079,-92.763969,915.234253,117.686554,-94.349091,958.330017,184.503799,-145.033920,1126.131714,138.418777,-120.503548,1162.025024,113.156792,-139.934204,1127.985962,159.832474,-90.463478,934.300049,111.527283,-92.898849,914.880127,117.536514,-94.357033,958.278564,,,,,,,,,,,,
9,0.038000,-0.049972,0.013542,-0.064433,0.996578,145.376511,-135.163315,1138.731201,184.420547,-145.013657,1126.171021,138.605804,-120.470596,1162.151733,113.103065,-140.005707,1127.870972,0.995051,0.023356,-0.051274,0.081849,130.092880,-92.561073,935.877991,158.855835,-90.546593,934.095276,113.744354,-92.778778,915.221069,117.678337,-94.357826,958.317688,184.500168,-145.042114,1126.131714,138.436905,-120.521027,1162.053833,113.161568,-139.935211,1127.991577,159.830704,-90.489410,934.293762,111.517708,-92.913589,914.865173,117.527824,-94.365753,958.266296,,,,,,,,,,,,
10,0.042000,-0.049150,0.013520,-0.064293,0.996628,145.381775,-135.186523,1138.750488,184.430130,-145.005859,1126.179321,138.603973,-120.534103,1162.193970,113.111107,-140.019592,1127.877686,0.995009,0.023243,-0.051220,0.082421,130.102814,-92.556816,935.880127,158.866364,-90.548882,934.099365,113.757317,-92.795784,915.221008,117.684677,-94.325775,958.320068,184.510330,-145.034546,1126.139526,138.442078,-120.577965,1162.107300,113.162254,-139.955246,1127.988037,159.834579,-90.491898,934.294373,111.510437,-92.931915,914.861450,117.532753,-94.333878,958.269958,,,,,,,,,,,,
11,0.046000,-0.048364,0.013513,-0.064237,0.996670,145.385406,-135.206619,1138.770508,184.436081,-145.002457,1126.188232,138.603607,-120.591705,1162.236328,113.116402,-140.025711,1127.886597,0.995006,0.023367,-0.051201,0.082439,130.108902,-92.572479,935.894592,158.871979,-90.557373,934.114258,113.763824,-92.816010,915.235291,117.690834,-94.344025,958.334412,184.515274,-145.031570,1126.147461,138.442200,-120.633125,1162.153320,113.168144,-139.962906,1127.994751,159.839432,-90.499763,934.298889,111.519890,-92.952057,914.866394,117.532967,-94.352921,958.291992,,,,,,,,,,,,
12,0.050000,-0.048880,0.013526,-0.064716,0.996614,145.382812,-135.213989,1138.765747,184.423569,-145.059982,1126.191895,138.616028,-120.568161,1162.216675,113.108727,-140.013794,1127.888428,0.995030,0.023475,-0.051047,0.082205,130.119186,-92.593437,935.899414,158.882324,-90.571266,934.128174,113.779945,-92.830421,915.235413,117.695213,-94.378601,958.334839,184.509567,-145.091949,1126.147339,138.441010,-120.608971,1162.133179,113.159554,-139.950363,1127.997559,159.835617,-90.514290,934.307739,111.519730,-92.967743,914.862244,117.536057,-94.387657,958.294128,,,,,,,,,,,,
13,0.054000,-0.049294,0.013625,-0.064375,0.996614,145.366898,-135.179291,1138.754883,184.410797,-145.008835,1126.177856,138.596771,-120.519211,1162.195923,113.092995,-140.009842,1127.890625,0.995015,0.023528,-0.050901,0.082469,130.122818,-92.587952,935.888184,158.886139,-90.562134,934.124268,113.789665,-92.838165,915.219482,117.692543,-94.363518,958.320923,184.500641,-145.039658,1126.135498,138.421066,-120.565834,1162.103394,113.140800,-139.942978,1128.004639,159.833267,-90.505074,934.298523,111.505737,-92.977432,914.838989,117.530411,-94.372932,958.283142,,,,,,,,,,,,
14,0.058000,-0.049966,0.013548,-0.064300,0.996587,145.356766,-135.156738,1138.729004,184.403091,-144.996490,1126.167480,138.582733,-120.466202,1162.149780,113.084335,-140.007492,1127.869385,0.994991,0.023552,-0.050900,0.082748,130.103104,-92.588844,935.861755,158.866302,-90.561806,934.097046,113.770172,-92.851807,915.192993,117.672737,-94.352882,958.295349,184.491547,-145.026321,1126.126831,138.411957,-120.513489,1162.057007,113.131149,-139.940613,1127.983154,159.821182,-90.504204,934.275085,111.507286,-92.990189,914.816895,117.512268,-94.362167,958.255920,,,,,,,,,,,,
15,0.063000,-0.050358,0.013555,-0.064388,0.996561,145.359085,-135.139816,1138.714600,184.403030,-144.996063,1126.158691,138.588882,-120.429764,1162.124268,113.085236,-139.993637,1127.860596,0.994996,0.023586,-0.050863,0.082707,130.116531,-92.602898,935.863403,158.879700,-90.573685,934.100769,113.784996,-92.865211,915.193542,117.684830,-94.369781,958.296021,184.487244,-145.026581,1126.116455,138.410507,-120.478699,1162.028076,113.141243,-139.924652,1127.978149,159.822342,-90.516449,934.268860,111.492996,-93.005234,914.806519,117.519447,-94.379646,958.262085,,,,,,,,,,,,
16,0.067000,-0.049998,0.013499,-0.064141,0.996596,145.362534,-135.144684,1138.716187,184.413040,-144.972595,1126.158447,138.581909,-120.454849,1162.135620,113.092537,-140.006607,1127.854370,0.994964,0.023407,-0.050653,0.083263,130.123383,-92.594292,935.861023,158.887909,-90.574631,934.109619,113.801476,-92.875473,915.183838,117.680672,-94.332726,958.289795,184.490311,-145.002686,1126.116211,138.407852,-120.503372,1162.040527,113.158699,-139.935349,1127.976807,159.824738,-90.517555,934.270752,111.500847,-93.015671,914.788025,117.511269,-94.343033,958.260742,,,,,,,,,,,,
17,0.071000,-0.049590,0.013406,-0.064229,0.996612,145.371994,-135.167801,1138.731812,184.423843,-144.992554,1126.175903,138.588181,-120.495514,1162.161255,113.103821,-140.015350,1127.858154,0.994948,0.023553,-0.050706,0.083377,130.132660,-92.602455,935.860413,158.896393,-90.574738,934.104980,113.808258,-92.892914,915.185303,117.693253,-94.339684,958.291077,184.506271,-145.023392,1126.132812,138.408279,-120.543861,1162.065796,113.163391,-139.946121,1127.977051,159.840012,-90.517082,934.270508,111.521896,-93.033035,914.794983,117.526108,-94.349808,958.259521,,,,,,,,,,,,
