Format Version,1.23,Take Name,July2_No_T1,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-07-07 06.09.40.912 PM,Capture Start Frame,103385272,Total Frames in Take,4167,Total Exported Frames,4167,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.042023,0.008285,0.003108,0.999078,310.263031,-138.936920,1149.837036,350.324799,-143.208664,1137.345825,301.485870,-125.704689,1173.461182,278.978333,-147.897400,1138.703857,0.015567,0.013473,-0.072209,0.997177,304.808075,-94.456856,943.237122,333.656708,-93.787361,942.525330,292.038788,-98.704872,964.560913,288.728729,-90.878326,922.625183,350.438690,-143.221100,1137.309814,301.308533,-125.781639,1173.353638,278.979584,-147.812943,1138.847290,333.790833,-93.704361,942.097229,291.720734,-98.728119,964.653198,288.967499,-90.907661,922.804749,,,,,,
7,0.029000,-0.041758,0.008300,0.003126,0.999088,310.276215,-138.935425,1149.838501,350.337708,-143.199341,1137.343628,301.499390,-125.716003,1173.469971,278.991394,-147.890976,1138.701538,0.015142,0.013483,-0.072318,0.997176,304.814209,-94.453781,943.228821,333.662933,-93.790848,942.513977,292.045898,-98.681068,964.557373,288.733826,-90.889412,922.615295,350.454529,-143.209854,1137.310425,301.328003,-125.798912,1173.351440,278.989288,-147.799011,1138.858154,333.803009,-93.712204,942.107544,291.718689,-98.702789,964.641357,288.971954,-90.920845,922.806458,,,,,,
8,0.033000,-0.041875,0.008234,0.003079,0.999084,310.284515,-138.926605,1149.833984,350.347382,-143.196884,1137.345703,301.505615,-125.700890,1173.461304,279.000458,-147.882065,1138.694946,0.015352,0.013506,-0.072370,0.997168,304.820099,-94.456970,943.240417,333.668854,-93.796860,942.525330,292.051666,-98.691856,964.567383,288.739777,-90.882179,922.628601,350.467896,-143.209534,1137.308472,301.330536,-125.775322,1173.357666,278.995087,-147.797562,1138.839355,333.810089,-93.717201,942.114563,291.728241,-98.714226,964.655029,288.974884,-90.912506,922.813049,,,,,,
9,0.038000,-0.042037,0.008398,0.003315,0.999075,310.314087,-138.943527,1149.850708,350.374542,-143.199417,1137.349854,301.537292,-125.714226,1173.476685,279.030304,-147.916946,1138.725342,0.015257,0.013478,-0.072408,0.997167,304.831116,-94.459129,943.238342,333.679932,-93.801338,942.524292,292.061493,-98.688904,964.565552,288.751892,-90.887138,922.625183,350.483246,-143.211792,1137.314575,301.357788,-125.792534,1173.367432,279.036682,-147.833298,1138.866699,333.829346,-93.723129,942.121521,291.736023,-98.711334,964.653748,288.981323,-90.917114,922.807312,,,,,,
10,0.042000,-0.042088,0.008313,0.002956,0.999075,310.333466,-138.955887,1149.849365,350.393402,-143.241531,1137.357056,301.561310,-125.717834,1173.472290,279.045563,-147.908310,1138.718750,0.015692,0.013561,-0.072158,0.997178,304.850616,-94.475800,943.238098,333.699036,-93.803169,942.521912,292.085114,-98.730766,964.562744,288.767670,-90.893448,922.629639,350.511475,-143.254410,1137.319824,301.383911,-125.792641,1173.368286,279.043213,-147.824356,1138.861694,333.830109,-93.723724,942.113220,291.768372,-98.752892,964.648804,289.003998,-90.923599,922.813049,,,,,,
11,0.046000,-0.042033,0.008261,0.003025,0.999078,310.350159,-138.965195,1149.854980,350.411926,-143.243729,1137.366089,301.573822,-125.731018,1173.478516,279.064606,-147.920837,1138.720215,0.015812,0.013615,-0.072166,0.997174,304.849915,-94.473412,943.241760,333.698303,-93.801140,942.523193,292.086273,-98.733391,964.566589,288.765198,-90.885696,922.635681,350.527069,-143.255508,1137.331055,301.399506,-125.809433,1173.367920,279.063934,-147.834213,1138.867554,333.832672,-93.723007,942.122131,291.769562,-98.755371,964.651917,288.997772,-90.915741,922.817810,,,,,,
12,0.050000,-0.042172,0.008355,0.003043,0.999071,310.359253,-138.970413,1149.854614,350.418762,-143.251251,1137.359253,301.586975,-125.729950,1173.476074,279.071838,-147.930069,1138.728394,0.015653,0.013747,-0.072381,0.997159,304.843597,-94.469803,943.246033,333.692078,-93.809967,942.518799,292.084381,-98.717903,964.575806,288.754333,-90.881508,922.643555,350.532562,-143.264191,1137.322510,301.408691,-125.804825,1173.372314,279.073273,-147.847412,1138.868530,333.830780,-93.732773,942.122131,291.762909,-98.739471,964.659485,288.986877,-90.912331,922.829590,,,,,,
13,0.054000,-0.041994,0.008357,0.002848,0.999079,310.360657,-138.974152,1149.852417,350.418671,-143.266357,1137.356079,301.593353,-125.738518,1173.478394,279.069885,-147.917572,1138.722656,0.015705,0.013747,-0.072110,0.997178,304.833527,-94.473824,943.242859,333.681641,-93.798233,942.516113,292.076294,-98.731232,964.572021,288.742676,-90.891991,922.640503,350.537048,-143.279617,1137.317993,301.407318,-125.817505,1173.368286,279.071106,-147.831024,1138.869385,333.819489,-93.720711,942.118469,291.751160,-98.752701,964.653625,288.978973,-90.923668,922.831970,,,,,,
14,0.058000,-0.042091,0.008251,0.002933,0.999075,310.350372,-138.954346,1149.842896,350.411713,-143.241623,1137.355591,301.575775,-125.715805,1173.464478,279.063507,-147.905594,1138.708374,0.015213,0.013624,-0.072333,0.997171,304.826050,-94.466843,943.238831,333.674591,-93.804596,942.516296,292.063385,-98.697243,964.570190,288.740173,-90.898674,922.630188,350.524017,-143.254883,1137.318481,301.402405,-125.785355,1173.368896,279.063385,-147.827148,1138.841675,333.817200,-93.728554,942.124268,291.734619,-98.718292,964.650452,288.974670,-90.930641,922.823608,,,,,,
15,0.063000,-0.042058,0.008372,0.003061,0.999075,310.351471,-138.945297,1149.849976,350.410706,-143.221954,1137.352173,301.579590,-125.710487,1173.474731,279.063965,-147.903442,1138.722778,0.015476,0.013636,-0.072223,0.997175,304.822693,-94.477898,943.234497,333.671051,-93.809105,942.512817,292.060516,-98.722290,964.563293,288.736420,-90.902290,922.627441,350.520050,-143.235580,1137.314819,301.396820,-125.784470,1173.372925,279.070435,-147.823181,1138.858154,333.812500,-93.731018,942.111267,291.731903,-98.743889,964.645813,288.973846,-90.934143,922.820251,,,,,,
