Format Version,1.23,Take Name,July2_No_T2,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-07-07 06.11.09.241 PM,Capture Start Frame,103406471,Total Frames in Take,4630,Total Exported Frames,4630,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.025000,-0.045173,0.020810,-0.008309,0.998728,130.351532,-135.538788,1165.082764,169.987625,-140.844910,1151.664551,122.463348,-121.952003,1188.819092,98.603500,-143.819458,1154.764648,0.037046,0.004074,-0.042454,0.998403,116.730667,-91.070335,956.528687,145.497955,-88.695297,956.538696,103.778122,-96.963882,977.344604,100.915924,-87.551834,935.702820,170.060699,-140.870163,1151.613770,122.187607,-122.058487,1188.671265,98.767822,-143.653549,1155.025024,145.637207,-88.700180,956.609436,103.756432,-96.868134,976.923584,100.693443,-87.673843,936.150085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.029000,-0.043991,0.020652,-0.008852,0.998779,130.359955,-135.533035,1165.081543,169.995285,-140.852081,1151.666016,122.477768,-121.993034,1188.846436,98.606689,-143.753998,1154.731689,0.037341,0.004162,-0.042923,0.998372,116.732239,-91.079102,956.522705,145.501740,-88.730949,956.528809,103.778038,-96.972923,977.337524,100.916954,-87.533432,935.701843,170.069748,-140.876297,1151.616821,122.204346,-122.100418,1188.695923,98.760498,-143.592957,1154.986450,145.641602,-88.735924,956.599365,103.756409,-96.879196,976.926514,100.691940,-87.656013,936.150452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.033000,-0.044663,0.020678,-0.008106,0.998755,130.350861,-135.544571,1165.073730,169.992462,-140.821182,1151.660034,122.451256,-121.985298,1188.821899,98.608749,-143.827209,1154.739014,0.037334,0.004144,-0.042444,0.998393,116.732315,-91.076088,956.533142,145.499557,-88.700417,956.541199,103.782303,-96.982033,977.347107,100.915092,-87.545822,935.711121,170.063553,-140.842529,1151.616089,122.204506,-122.091736,1188.670288,98.766785,-143.653122,1155.015137,145.636612,-88.705063,956.610046,103.759254,-96.885971,976.925476,100.700691,-87.665230,936.148804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.038000,-0.043638,0.020403,-0.009044,0.998798,130.351700,-135.502625,1165.049927,169.992020,-140.827271,1151.651367,122.462234,-121.976158,1188.820190,98.600761,-143.704437,1154.677979,0.037184,0.004072,-0.042575,0.998393,116.736717,-91.072617,956.519836,145.504593,-88.704536,956.530701,103.782608,-96.968727,977.334106,100.922958,-87.544586,935.694885,170.069550,-140.848099,1151.607666,122.200897,-122.091660,1188.654053,98.744873,-143.533432,1154.951050,145.643738,-88.709549,956.601685,103.762100,-96.875328,976.924194,100.697983,-87.666519,936.140564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.042000,-0.044871,0.020508,-0.008593,0.998745,130.354904,-135.514160,1165.050415,169.996567,-140.834274,1151.654053,122.459190,-121.936966,1188.789551,98.608864,-143.771210,1154.707275,0.037104,0.004139,-0.042684,0.998391,116.737228,-91.078667,956.522766,145.505600,-88.716705,956.528992,103.784973,-96.968826,977.339844,100.921120,-87.550461,935.699585,170.073227,-140.855042,1151.610474,122.201172,-122.051971,1188.624390,98.756752,-143.596344,1154.985718,145.644852,-88.721573,956.599304,103.763451,-96.875664,976.930359,100.697388,-87.672234,936.145630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.046000,-0.044535,0.020461,-0.009031,0.998757,130.364700,-135.477448,1165.041870,170.003525,-140.823853,1151.647705,122.477638,-121.908836,1188.789062,98.612831,-143.699677,1154.688965,0.037605,0.004235,-0.042775,0.998368,116.739204,-91.088028,956.516235,145.508011,-88.731262,956.520386,103.789108,-96.996841,977.329346,100.920517,-87.535965,935.699097,170.082901,-140.844330,1151.604248,122.212524,-122.026703,1188.619751,98.746033,-143.535767,1154.950317,145.646835,-88.736809,956.593018,103.770760,-96.901611,976.914001,100.693504,-87.658264,936.144348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.050000,-0.043950,0.020645,-0.008796,0.998782,130.377823,-135.551392,1165.062500,170.013870,-140.864960,1151.646973,122.493919,-122.014252,1188.828613,98.625572,-143.774979,1154.711792,0.037005,0.004162,-0.042452,0.998404,116.745117,-91.082291,956.524109,145.512375,-88.706879,956.528870,103.796364,-96.974442,977.342834,100.926605,-87.565536,935.700806,170.090988,-140.884857,1151.604736,122.239677,-122.128784,1188.663452,98.764191,-143.606003,1154.981934,145.649185,-88.712051,956.599915,103.776688,-96.878120,976.919983,100.707878,-87.684990,936.138306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.054000,-0.044057,0.020597,-0.008406,0.998781,130.373856,-135.567810,1165.058472,170.014877,-140.852783,1151.646362,122.477859,-122.032204,1188.821411,98.628700,-143.818466,1154.707520,0.037349,0.004182,-0.042375,0.998395,116.749374,-91.092468,956.521057,145.516281,-88.712723,956.527222,103.801613,-97.000916,977.335754,100.930229,-87.563751,935.700256,170.083725,-140.870346,1151.608887,122.257401,-122.138313,1188.666870,98.779594,-143.635681,1154.999756,145.652985,-88.716957,956.594116,103.775871,-96.904633,976.912170,100.720955,-87.682297,936.135925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.058000,-0.044418,0.020599,-0.008568,0.998764,130.381317,-135.560547,1165.046387,170.020737,-140.867538,1151.638306,122.489433,-122.005150,1188.799438,98.633652,-143.808945,1154.701172,0.037601,0.004075,-0.042601,0.998376,116.753464,-91.091141,956.512573,145.521484,-88.724731,956.526184,103.798454,-97.003876,977.321594,100.940483,-87.544807,935.690125,170.093887,-140.885895,1151.598999,122.255615,-122.116928,1188.636963,98.784111,-143.623398,1154.997314,145.660233,-88.730202,956.598755,103.779633,-96.907326,976.900269,100.714951,-87.667145,936.135681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.063000,-0.043174,0.020697,-0.008256,0.998819,130.380386,-135.610931,1165.053101,170.020111,-140.862000,1151.623901,122.485634,-122.119522,1188.841553,98.635307,-143.851288,1154.693726,0.037214,0.004243,-0.042572,0.998391,116.741295,-91.089783,956.527039,145.509125,-88.721199,956.528381,103.794327,-96.987671,977.345215,100.920433,-87.560478,935.707703,170.083099,-140.876755,1151.591675,122.284462,-122.226059,1188.684692,98.792892,-143.655243,1155.006836,145.645538,-88.725090,956.593506,103.764671,-96.887032,976.901184,100.718727,-87.678215,936.143311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.067000,-0.044977,0.020406,-0.008212,0.998746,130.367493,-135.568069,1165.016968,170.015503,-140.860107,1151.628418,122.457253,-121.992340,1188.752319,98.629593,-143.851761,1154.670166,0.037400,0.004114,-0.042821,0.998374,116.740723,-91.081909,956.513916,145.509750,-88.727997,956.523438,103.785461,-96.980705,977.326721,100.926949,-87.537018,935.691833,170.079803,-140.874130,1151.597534,122.256187,-122.101891,1188.588623,98.787903,-143.648331,1154.998047,145.646591,-88.733063,956.593445,103.765190,-96.887299,976.917725,100.707916,-87.656235,936.127625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.071000,-0.044434,0.020277,-0.008472,0.998771,130.353882,-135.545532,1164.991455,170.002975,-140.844223,1151.608765,122.443947,-121.991096,1188.739014,98.614616,-143.801300,1154.626587,0.036740,0.004064,-0.042776,0.998401,116.727325,-91.070587,956.518066,145.496124,-88.713951,956.525757,103.771645,-96.943047,977.338013,100.914200,-87.554756,935.690552,170.061859,-140.856384,1151.581665,122.253059,-122.104057,1188.572144,98.776947,-143.589722,1154.960938,145.633255,-88.718582,956.594482,103.747398,-96.843895,976.900391,100.702614,-87.673645,936.129944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.075000,-0.044353,0.020171,-0.008490,0.998776,130.340347,-135.547974,1164.984131,169.992172,-140.845764,1151.609009,122.425713,-121.997070,1188.732178,98.603058,-143.801102,1154.610962,0.036795,0.003961,-0.042449,0.998413,116.725845,-91.078873,956.507996,145.493118,-88.703659,956.522644,103.769081,-96.961830,977.324280,100.915337,-87.571098,935.677124,170.045700,-140.854828,1151.587646,122.243217,-122.115585,1188.552002,98.764862,-143.587494,1154.954102,145.631256,-88.708992,956.595093,103.750893,-96.867241,976.908508,100.690048,-87.692017,936.119690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.079000,-0.044187,0.020109,-0.008492,0.998785,130.334625,-135.566254,1164.985718,169.988129,-140.859772,1151.613892,122.417023,-122.023209,1188.737305,98.598633,-143.815765,1154.605835,0.037013,0.004000,-0.042306,0.998411,116.728271,-91.082108,956.507141,145.494858,-88.698647,956.521423,103.774193,-96.977921,977.321533,100.915756,-87.569756,935.678528,170.042496,-140.868347,1151.593506,122.233864,-122.144485,1188.553101,98.758827,-143.598938,1154.953979,145.634491,-88.703621,956.592957,103.753258,-96.882065,976.900146,100.691124,-87.692383,936.127563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.083000,-0.045477,0.020176,-0.008121,0.998729,130.326660,-135.556274,1164.977661,169.981781,-140.852875,1151.611938,122.402908,-121.958580,1188.695923,98.595184,-143.857391,1154.625000,0.037144,0.003974,-0.042562,0.998395,116.737495,-91.086433,956.504456,145.505310,-88.717827,956.520630,103.779488,-96.980965,977.316711,100.927681,-87.560493,935.676086,170.037247,-140.861969,1151.590332,122.220955,-122.075981,1188.517822,98.750198,-143.646988,1154.963745,145.646057,-88.723213,956.593933,103.760384,-96.884911,976.895752,100.697067,-87.684792,936.130188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.088000,-0.044650,0.020066,-0.008458,0.998765,130.326828,-135.544128,1164.981445,169.981781,-140.846420,1151.617554,122.406242,-121.979790,1188.719849,98.592323,-143.806152,1154.606934,0.036858,0.003941,-0.042548,0.998407,116.743866,-91.076836,956.508667,145.511612,-88.707397,956.524719,103.785126,-96.959770,977.323792,100.934845,-87.563332,935.677673,170.037598,-140.854523,1151.597778,122.224274,-122.103004,1188.534546,98.744072,-143.590469,1154.950073,145.651505,-88.711502,956.592468,103.760208,-96.869324,976.923889,100.714050,-87.684959,936.124817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.092000,-0.044561,0.020111,-0.008076,0.998772,130.332535,-135.578476,1164.996094,169.989838,-140.848175,1151.626221,122.404602,-122.024773,1188.738159,98.603027,-143.862457,1154.623901,0.037090,0.004028,-0.042674,0.998392,116.757988,-91.084267,956.508545,145.526337,-88.721977,956.521057,103.801170,-96.973755,977.322937,100.946472,-87.557045,935.681702,170.044891,-140.855042,1151.608398,122.221275,-122.152802,1188.542236,98.755150,-143.644745,1154.974854,145.666458,-88.726379,956.589722,103.776749,-96.880615,976.912354,100.725044,-87.679382,936.130981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.096000,-0.044269,0.020062,-0.008292,0.998784,130.339462,-135.582886,1164.994873,169.996094,-140.862381,1151.626831,122.414566,-122.039330,1188.743652,98.607582,-143.846924,1154.613892,0.037035,0.004061,-0.042537,0.998400,116.761993,-91.083008,956.513550,145.529678,-88.712730,956.523987,103.808075,-96.973892,977.329346,100.948212,-87.562378,935.687317,170.053238,-140.869797,1151.607910,122.229507,-122.167000,1188.549316,98.760353,-143.625397,1154.969727,145.669800,-88.716560,956.590393,103.779640,-96.878731,976.908447,100.733788,-87.684166,936.136597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.100000,-0.044369,0.020131,-0.008101,0.998779,130.341629,-135.608231,1164.991089,169.998199,-140.875214,1151.618042,122.415314,-122.063126,1188.738525,98.611282,-143.886337,1154.616699,0.036922,0.004088,-0.042570,0.998403,116.761116,-91.085670,956.514099,145.528961,-88.717201,956.522156,103.808228,-96.971085,977.332092,100.946182,-87.568718,935.688110,170.054489,-140.882645,1151.598999,122.228363,-122.192223,1188.541382,98.771332,-143.659561,1154.982056,145.667297,-88.721306,956.589172,103.781723,-96.875725,976.910706,100.733604,-87.688591,936.130432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
