Format Version,1.23,Take Name,Apr17_Sand_No_3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 06.50.51.250 PM,Capture Start Frame,7896456,Total Frames in Take,21876,Total Exported Frames,21876,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.031631,0.005258,0.002226,0.999483,0.216447,-0.048272,0.312815,0.322323,-0.024230,0.270715,0.319264,-0.028088,0.331753,0.116185,-0.075214,0.344987,0.080152,-0.057548,0.297583,0.340000,-0.027500,0.359874,0.120755,-0.077050,0.271976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323007,-0.024961,0.270547,0.319013,-0.027958,0.331667,0.116004,-0.076012,0.345088,0.081307,-0.055391,0.297910,0.339555,-0.026962,0.359822,0.121550,-0.073921,0.272475
7,0.058000,0.032121,0.005362,0.002314,0.999467,0.216441,-0.048258,0.312814,0.322304,-0.024156,0.270717,0.319258,-0.028075,0.331751,0.116190,-0.075250,0.344981,0.080145,-0.057545,0.297601,0.340000,-0.027511,0.359869,0.120746,-0.077013,0.271967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323001,-0.024926,0.270540,0.319007,-0.027926,0.331667,0.116002,-0.076019,0.345078,0.081301,-0.055346,0.297921,0.339587,-0.026999,0.359814,0.121581,-0.073928,0.272465
8,0.067000,0.031939,0.005349,0.002373,0.999473,0.216442,-0.048283,0.312815,0.322304,-0.024184,0.270712,0.319257,-0.028081,0.331748,0.116194,-0.075275,0.344988,0.080148,-0.057591,0.297601,0.339998,-0.027504,0.359866,0.120752,-0.077064,0.271975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323003,-0.024941,0.270555,0.319009,-0.027968,0.331652,0.116008,-0.076040,0.345087,0.081322,-0.055391,0.297908,0.339581,-0.026949,0.359813,0.121561,-0.073944,0.272471
9,0.075000,0.032068,0.005316,0.002170,0.999469,0.216442,-0.048265,0.312834,0.322316,-0.024199,0.270743,0.319264,-0.028110,0.331777,0.116181,-0.075225,0.344996,0.080145,-0.057513,0.297611,0.340004,-0.027549,0.359897,0.120742,-0.076997,0.271982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323003,-0.024959,0.270566,0.318997,-0.027955,0.331708,0.116007,-0.076047,0.345098,0.081280,-0.055401,0.297927,0.339547,-0.027017,0.359822,0.121550,-0.073944,0.272476
10,0.083000,0.031900,0.005329,0.002135,0.999475,0.216440,-0.048253,0.312834,0.322315,-0.024207,0.270731,0.319264,-0.028098,0.331767,0.116178,-0.075195,0.345007,0.080142,-0.057497,0.297617,0.340005,-0.027529,0.359886,0.120737,-0.076992,0.271994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322991,-0.024952,0.270566,0.318999,-0.027947,0.331683,0.116009,-0.076029,0.345114,0.081266,-0.055392,0.297932,0.339544,-0.027000,0.359832,0.121530,-0.073932,0.272470
11,0.092000,0.031786,0.005310,0.002228,0.999478,0.216426,-0.048269,0.312829,0.322298,-0.024214,0.270726,0.319245,-0.028091,0.331763,0.116167,-0.075222,0.345004,0.080130,-0.057542,0.297609,0.339984,-0.027512,0.359882,0.120730,-0.077035,0.271991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322982,-0.024961,0.270560,0.318987,-0.027959,0.331679,0.115993,-0.076007,0.345103,0.081289,-0.055366,0.297930,0.339558,-0.026983,0.359827,0.121545,-0.073938,0.272480
12,0.100000,0.031719,0.005293,0.002243,0.999480,0.216446,-0.048252,0.312837,0.322318,-0.024199,0.270734,0.319264,-0.028068,0.331771,0.116187,-0.075204,0.345012,0.080151,-0.057531,0.297613,0.340002,-0.027484,0.359891,0.120752,-0.077026,0.272000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323021,-0.024953,0.270549,0.319017,-0.027922,0.331701,0.115995,-0.075996,0.345112,0.081289,-0.055382,0.297937,0.339551,-0.026939,0.359821,0.121526,-0.073963,0.272479
13,0.108000,0.031903,0.005296,0.002018,0.999475,0.216453,-0.048225,0.312829,0.322335,-0.024205,0.270733,0.319280,-0.028095,0.331769,0.116182,-0.075144,0.344996,0.080153,-0.057437,0.297605,0.340019,-0.027531,0.359889,0.120745,-0.076941,0.271983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322987,-0.024942,0.270565,0.319025,-0.027935,0.331695,0.115999,-0.076016,0.345101,0.081302,-0.055362,0.297922,0.339513,-0.026972,0.359815,0.121507,-0.073966,0.272475
14,0.117000,0.032024,0.005330,0.002270,0.999470,0.216437,-0.048257,0.312830,0.322305,-0.024173,0.270734,0.319256,-0.028079,0.331770,0.116182,-0.075234,0.344996,0.080141,-0.057534,0.297611,0.339996,-0.027512,0.359888,0.120742,-0.077011,0.271982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322990,-0.024935,0.270572,0.319005,-0.027948,0.331690,0.116003,-0.076026,0.345090,0.081312,-0.055339,0.297942,0.339551,-0.026951,0.359820,0.121537,-0.073923,0.272479
15,0.125000,0.032465,0.005443,0.002311,0.999455,0.216422,-0.048245,0.312841,0.322278,-0.024115,0.270743,0.319243,-0.028075,0.331775,0.116176,-0.075259,0.345006,0.080123,-0.057520,0.297644,0.339989,-0.027531,0.359890,0.120720,-0.076971,0.271989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322996,-0.024943,0.270572,0.318992,-0.027940,0.331701,0.115982,-0.076020,0.345099,0.081289,-0.055364,0.297941,0.339556,-0.026933,0.359802,0.121542,-0.073957,0.272470
