Format Version,1.23,Take Name,Apr17_Sand_Des_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-17 05.49.28.492 PM,Capture Start Frame,7454527,Total Frames in Take,4140,Total Exported Frames,4140,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.011046,-0.027410,-0.007022,0.999539,0.231889,-0.050024,0.236646,0.340762,-0.031518,0.199710,0.333719,-0.030073,0.260522,0.129185,-0.072368,0.264327,0.096671,-0.058213,0.213336,0.352622,-0.027433,0.289794,0.138372,-0.080539,0.192189,0.344959,-0.034636,0.199572,0.333704,-0.029812,0.260000,0.127952,-0.078841,0.264324,0.096436,-0.057735,0.214245,0.350347,-0.025965,0.290130,0.138951,-0.076417,0.191811
7,0.058000,-0.010805,-0.027466,-0.006977,0.999540,0.231889,-0.050020,0.236633,0.340764,-0.031486,0.199718,0.333714,-0.030070,0.260530,0.129184,-0.072388,0.264291,0.096675,-0.058212,0.213303,0.352613,-0.027442,0.289806,0.138380,-0.080524,0.192150,0.344951,-0.034646,0.199579,0.333703,-0.029822,0.260005,0.127948,-0.078866,0.264280,0.096439,-0.057746,0.214242,0.350334,-0.025936,0.290147,0.138956,-0.076398,0.191802
8,0.067000,-0.009028,-0.026976,-0.006730,0.999573,0.231896,-0.050009,0.236650,0.340725,-0.031280,0.199697,0.333732,-0.030083,0.260520,0.129231,-0.072534,0.264327,0.096664,-0.058197,0.213421,0.352659,-0.027549,0.289787,0.138362,-0.080409,0.192150,0.344951,-0.034639,0.199566,0.333722,-0.029801,0.260017,0.127936,-0.078884,0.264291,0.096452,-0.057739,0.214254,0.350346,-0.025971,0.290163,0.138945,-0.076466,0.191789
9,0.075000,-0.009703,-0.027050,-0.006761,0.999564,0.231873,-0.050016,0.236662,0.340709,-0.031347,0.199698,0.333708,-0.030068,0.260519,0.129202,-0.072494,0.264355,0.096644,-0.058222,0.213425,0.352631,-0.027496,0.289785,0.138343,-0.080467,0.192189,0.344963,-0.034637,0.199560,0.333703,-0.029810,0.260015,0.127946,-0.078860,0.264300,0.096433,-0.057740,0.214238,0.350357,-0.025947,0.290146,0.138958,-0.076426,0.191782
10,0.083000,-0.011010,-0.027299,-0.007025,0.999542,0.231888,-0.050042,0.236678,0.340754,-0.031534,0.199719,0.333724,-0.030092,0.260533,0.129191,-0.072387,0.264379,0.096666,-0.058228,0.213397,0.352634,-0.027455,0.289801,0.138362,-0.080553,0.192239,0.344956,-0.034637,0.199578,0.333713,-0.029806,0.260019,0.127939,-0.078869,0.264318,0.096446,-0.057718,0.214234,0.350330,-0.025995,0.290170,0.138940,-0.076456,0.191776
11,0.092000,-0.010174,-0.026936,-0.007223,0.999559,0.232009,-0.050092,0.236637,0.340855,-0.031561,0.199632,0.333869,-0.030220,0.260453,0.129324,-0.072448,0.264373,0.096767,-0.058191,0.213438,0.352800,-0.027639,0.289712,0.138441,-0.080495,0.192213,0.344963,-0.034623,0.199572,0.333709,-0.029821,0.260003,0.127932,-0.078864,0.264338,0.096458,-0.057727,0.214233,0.350364,-0.025930,0.290159,0.138955,-0.076411,0.191793
12,0.100000,-0.012435,-0.027583,-0.007130,0.999517,0.231878,-0.050051,0.236688,0.340769,-0.031679,0.199736,0.333706,-0.030063,0.260542,0.129159,-0.072288,0.264396,0.096666,-0.058266,0.213355,0.352601,-0.027348,0.289812,0.138368,-0.080662,0.192284,0.344947,-0.034646,0.199593,0.333698,-0.029807,0.260014,0.127960,-0.078845,0.264346,0.096428,-0.057737,0.214249,0.350345,-0.025935,0.290156,0.138951,-0.076405,0.191799
13,0.108000,-0.011899,-0.027456,-0.007066,0.999527,0.231887,-0.050056,0.236697,0.340766,-0.031628,0.199739,0.333718,-0.030077,0.260548,0.129178,-0.072339,0.264407,0.096671,-0.058267,0.213390,0.352619,-0.027391,0.289817,0.138370,-0.080634,0.192285,0.344941,-0.034655,0.199594,0.333716,-0.029808,0.260027,0.127952,-0.078864,0.264342,0.096436,-0.057752,0.214245,0.350338,-0.025945,0.290167,0.138959,-0.076453,0.191801
14,0.117000,-0.012322,-0.027518,-0.007198,0.999520,0.231911,-0.050059,0.236685,0.340800,-0.031693,0.199724,0.333745,-0.030089,0.260531,0.129192,-0.072289,0.264401,0.096695,-0.058250,0.213368,0.352643,-0.027384,0.289800,0.138391,-0.080647,0.192287,0.344969,-0.034622,0.199596,0.333719,-0.029821,0.260017,0.127949,-0.078865,0.264337,0.096448,-0.057724,0.214235,0.350366,-0.025950,0.290177,0.138947,-0.076451,0.191782
15,0.125000,-0.010431,-0.026933,-0.007181,0.999557,0.232003,-0.050118,0.236665,0.340848,-0.031599,0.199649,0.333862,-0.030227,0.260470,0.129319,-0.072466,0.264414,0.096762,-0.058239,0.213471,0.352793,-0.027629,0.289727,0.138436,-0.080551,0.192258,0.344951,-0.034645,0.199585,0.333721,-0.029832,0.260012,0.127981,-0.078831,0.264345,0.096457,-0.057762,0.214258,0.350381,-0.025948,0.290149,0.138941,-0.076498,0.191789
