Format Version,1.23,Take Name,Jun12_Rigid_Des_T3,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-12 01.07.20.563 PM,Capture Start Frame,8563129,Total Frames in Take,5333,Total Exported Frames,5333,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.158522,-0.068828,-0.000950,0.984953,-0.244815,0.099715,0.030692,-0.226540,0.096525,-0.000990,-0.239359,0.088248,0.070377,-0.268547,0.114372,0.022689,-0.137955,-0.052083,0.001161,0.989067,-0.032695,0.137379,0.033088,-0.011103,0.139714,0.021464,-0.032083,0.139235,0.058954,-0.054899,0.133188,0.018847,-0.011138,0.139715,0.021557,-0.032010,0.139245,0.058932,-0.054952,0.133175,0.018780,-0.226706,0.096563,-0.000742,-0.239342,0.088270,0.070230,-0.268435,0.114321,0.022641,,,
7,0.058000,0.158208,-0.069078,-0.000761,0.984986,-0.244818,0.099740,0.030671,-0.226524,0.096534,-0.000999,-0.239381,0.088300,0.070367,-0.268549,0.114386,0.022645,-0.136810,-0.052344,0.001652,0.989212,-0.032674,0.137392,0.033072,-0.011081,0.139779,0.021461,-0.032074,0.139191,0.058942,-0.054868,0.133207,0.018813,-0.011116,0.139778,0.021535,-0.032027,0.139196,0.058921,-0.054897,0.133200,0.018771,-0.226707,0.096581,-0.000751,-0.239366,0.088321,0.070230,-0.268423,0.114329,0.022591,,,
8,0.067000,0.157886,-0.069168,-0.000606,0.985032,-0.244831,0.099720,0.030649,-0.226530,0.096497,-0.001015,-0.239400,0.088308,0.070353,-0.268564,0.114354,0.022608,-0.137483,-0.052148,0.001477,0.989129,-0.032704,0.137351,0.033079,-0.011113,0.139711,0.021457,-0.032094,0.139184,0.058946,-0.054905,0.133157,0.018833,-0.011150,0.139712,0.021549,-0.032026,0.139192,0.058922,-0.054953,0.133146,0.018771,-0.226709,0.096533,-0.000729,-0.239372,0.088326,0.070196,-0.268458,0.114309,0.022550,,,
9,0.075000,0.158562,-0.069074,-0.001333,0.984929,-0.244826,0.099722,0.030667,-0.226542,0.096522,-0.001009,-0.239394,0.088245,0.070352,-0.268543,0.114400,0.022657,-0.137125,-0.052295,0.001658,0.989171,-0.032678,0.137390,0.033066,-0.011086,0.139768,0.021451,-0.032075,0.139205,0.058934,-0.054873,0.133196,0.018811,-0.011125,0.139768,0.021539,-0.032019,0.139211,0.058907,-0.054910,0.133188,0.018762,-0.226731,0.096565,-0.000727,-0.239370,0.088264,0.070202,-0.268427,0.114350,0.022596,,,
10,0.083000,0.158342,-0.069088,-0.001051,0.984964,-0.244808,0.099729,0.030674,-0.226518,0.096523,-0.000998,-0.239374,0.088274,0.070366,-0.268531,0.114390,0.022655,-0.136570,-0.052248,0.000664,0.989251,-0.032677,0.137412,0.033076,-0.011078,0.139763,0.021468,-0.032075,0.139194,0.058948,-0.054878,0.133279,0.018813,-0.011126,0.139761,0.021540,-0.032020,0.139202,0.058941,-0.054906,0.133271,0.018753,-0.226699,0.096556,-0.000693,-0.239346,0.088296,0.070190,-0.268425,0.114343,0.022601,,,
11,0.092000,0.158929,-0.069152,-0.000390,0.984865,-0.244806,0.099741,0.030673,-0.226501,0.096594,-0.000996,-0.239370,0.088249,0.070354,-0.268546,0.114378,0.022661,-0.137344,-0.052277,0.001082,0.989142,-0.032694,0.137367,0.033073,-0.011097,0.139716,0.021460,-0.032092,0.139191,0.058941,-0.054892,0.133194,0.018817,-0.011134,0.139716,0.021540,-0.032037,0.139198,0.058920,-0.054929,0.133186,0.018766,-0.226714,0.096642,-0.000681,-0.239338,0.088264,0.070206,-0.268428,0.114330,0.022584,,,
12,0.100000,0.158498,-0.069158,-0.001365,0.984933,-0.244813,0.099744,0.030675,-0.226525,0.096538,-0.000998,-0.239389,0.088271,0.070363,-0.268527,0.114423,0.022659,-0.137217,-0.052247,0.001590,0.989161,-0.032663,0.137397,0.033074,-0.011071,0.139769,0.021457,-0.032058,0.139216,0.058942,-0.054860,0.133204,0.018822,-0.011116,0.139768,0.021539,-0.031994,0.139225,0.058930,-0.054898,0.133194,0.018757,-0.226726,0.096583,-0.000695,-0.239358,0.088286,0.070214,-0.268413,0.114376,0.022589,,,
13,0.108000,0.158113,-0.069053,-0.001653,0.985002,-0.244810,0.099738,0.030677,-0.226533,0.096498,-0.000999,-0.239380,0.088291,0.070372,-0.268518,0.114425,0.022658,-0.136636,-0.052349,0.001209,0.989236,-0.032688,0.137405,0.033083,-0.011091,0.139778,0.021475,-0.032089,0.139193,0.058953,-0.054883,0.133245,0.018819,-0.011131,0.139776,0.021536,-0.032036,0.139201,0.058954,-0.054913,0.133237,0.018757,-0.226716,0.096535,-0.000702,-0.239348,0.088307,0.070218,-0.268416,0.114383,0.022593,,,
14,0.117000,0.158478,-0.068875,-0.000884,0.984957,-0.244810,0.099743,0.030664,-0.226530,0.096552,-0.001015,-0.239357,0.088280,0.070351,-0.268542,0.114396,0.022657,-0.137278,-0.052378,0.001140,0.989146,-0.032688,0.137402,0.033073,-0.011089,0.139756,0.021464,-0.032091,0.139223,0.058941,-0.054883,0.133228,0.018812,-0.011142,0.139754,0.021551,-0.032033,0.139230,0.058920,-0.054911,0.133220,0.018757,-0.226724,0.096597,-0.000729,-0.239327,0.088294,0.070211,-0.268430,0.114350,0.022587,,,
15,0.125000,0.158702,-0.069159,-0.000540,0.984901,-0.244815,0.099720,0.030654,-0.226513,0.096553,-0.001014,-0.239382,0.088244,0.070340,-0.268551,0.114362,0.022637,-0.136852,-0.052332,0.001332,0.989207,-0.032667,0.137407,0.033082,-0.011071,0.139779,0.021472,-0.032067,0.139206,0.058952,-0.054863,0.133235,0.018821,-0.011119,0.139778,0.021564,-0.031997,0.139215,0.058933,-0.054904,0.133224,0.018754,-0.226701,0.096598,-0.000744,-0.239359,0.088262,0.070200,-0.268434,0.114311,0.022574,,,
16,0.133000,0.158387,-0.069024,-0.000768,0.984961,-0.244817,0.099735,0.030648,-0.226527,0.096542,-0.001024,-0.239376,0.088281,0.070339,-0.268550,0.114383,0.022630,-0.137116,-0.052184,0.001309,0.989179,-0.032691,0.137374,0.033083,-0.011098,0.139737,0.021466,-0.032083,0.139187,0.058952,-0.054891,0.133197,0.018831,-0.011137,0.139737,0.021555,-0.032010,0.139196,0.058936,-0.054941,0.133185,0.018761,-0.226704,0.096582,-0.000763,-0.239358,0.088305,0.070186,-0.268430,0.114329,0.022581,,,
