Format Version,1.23,Take Name,Jun16_Granular_0_T1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-16 05.30.39.014 PM,Capture Start Frame,263615,Total Frames in Take,3564,Total Exported Frames,3564,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.148719,-0.022199,-0.015155,0.988514,0.009237,0.105888,0.117774,0.024312,0.101857,0.084541,0.018356,0.095041,0.156958,-0.014956,0.120765,0.111823,0.806419,0.188347,-0.557092,0.062153,0.223300,0.141542,0.110495,0.242810,0.145017,0.095863,0.200313,0.139360,0.098676,0.226777,0.140250,0.136946,0.243480,0.145045,0.096746,0.199945,0.139306,0.098770,0.226885,0.140295,0.136470,0.024019,0.102006,0.084692,0.018324,0.095059,0.156961,-0.014636,0.120600,0.111676,,,,,,,,,
7,0.058000,0.148615,-0.022045,-0.014035,0.988550,0.009205,0.105852,0.117792,0.024290,0.101847,0.084561,0.018347,0.095036,0.156979,-0.015021,0.120673,0.111836,0.805899,0.190253,-0.557130,0.062746,0.223280,0.141527,0.110483,0.242766,0.145094,0.095842,0.200294,0.139267,0.098677,0.226780,0.140220,0.136930,0.243426,0.145119,0.096771,0.199926,0.139212,0.098765,0.226896,0.140268,0.136448,0.023986,0.101998,0.084726,0.018313,0.095056,0.156971,-0.014696,0.120505,0.111692,,,,,,,,,
8,0.067000,0.148992,-0.022189,-0.013228,0.988501,0.009204,0.105842,0.117797,0.024313,0.101885,0.084571,0.018342,0.095012,0.156982,-0.015043,0.120629,0.111839,0.806266,0.189928,-0.556777,0.062144,0.223280,0.141538,0.110477,0.242783,0.145091,0.095854,0.200300,0.139317,0.098651,0.226757,0.140205,0.136926,0.243483,0.145117,0.096834,0.199924,0.139262,0.098734,0.226878,0.140253,0.136449,0.024034,0.102022,0.084734,0.018303,0.095038,0.156956,-0.014725,0.120465,0.111715,,,,,,,,,
9,0.075000,0.149252,-0.019858,0.003463,0.988594,0.008837,0.105512,0.117874,0.024083,0.102060,0.084654,0.018320,0.095003,0.157063,-0.015892,0.119473,0.111904,0.806292,0.189296,-0.556936,0.062310,0.223301,0.141532,0.110493,0.242806,0.145053,0.095865,0.200319,0.139319,0.098671,0.226780,0.140224,0.136943,0.243480,0.145080,0.096793,0.199948,0.139265,0.098760,0.226894,0.140271,0.136465,0.024040,0.102074,0.084718,0.018272,0.095044,0.156956,-0.015767,0.119399,0.111956,,,,,,,,,
10,0.083000,0.148885,-0.020678,-0.004909,0.988626,0.008993,0.105672,0.117836,0.024149,0.101951,0.084604,0.018332,0.095021,0.157022,-0.015503,0.120044,0.111882,0.806253,0.188958,-0.557100,0.062378,0.223275,0.141512,0.110510,0.242777,0.145016,0.095876,0.200288,0.139304,0.098695,0.226759,0.140217,0.136960,0.243485,0.145045,0.096833,0.199910,0.139248,0.098787,0.226873,0.140264,0.136473,0.023989,0.102026,0.084706,0.018274,0.095063,0.156953,-0.015253,0.119910,0.111851,,,,,,,,,
11,0.092000,0.148842,-0.022080,-0.012979,0.988529,0.009194,0.105863,0.117803,0.024300,0.101903,0.084576,0.018343,0.095050,0.156989,-0.015061,0.120636,0.111844,0.806248,0.189739,-0.556828,0.062498,0.223284,0.141546,0.110491,0.242787,0.145089,0.095866,0.200306,0.139314,0.098665,0.226760,0.140235,0.136941,0.243469,0.145117,0.096798,0.199935,0.139259,0.098750,0.226876,0.140282,0.136472,0.024036,0.102032,0.084738,0.018303,0.095078,0.156954,-0.014758,0.120478,0.111731,,,,,,,,,
12,0.100000,0.148650,-0.022288,-0.014990,0.988525,0.009236,0.105870,0.117781,0.024319,0.101839,0.084552,0.018349,0.095031,0.156969,-0.014961,0.120739,0.111822,0.806176,0.188890,-0.557243,0.062291,0.223292,0.141549,0.110471,0.242791,0.145049,0.095830,0.200302,0.139345,0.098664,0.226785,0.140253,0.136919,0.243498,0.145077,0.096800,0.199925,0.139291,0.098740,0.226906,0.140299,0.136465,0.023995,0.102001,0.084732,0.018324,0.095045,0.156971,-0.014669,0.120591,0.111674,,,,,,,,,
13,0.108000,0.149271,-0.021582,-0.014060,0.988461,0.009212,0.105860,0.117841,0.024268,0.101901,0.084591,0.018391,0.094992,0.157005,-0.015021,0.120686,0.111927,0.806827,0.185713,-0.557353,0.062437,0.223308,0.141461,0.110474,0.242839,0.144805,0.095840,0.200318,0.139333,0.098652,0.226768,0.140246,0.136931,0.243634,0.144845,0.096788,0.199926,0.139278,0.098746,0.226873,0.140288,0.136469,0.023968,0.102053,0.084736,0.018360,0.095008,0.157020,-0.014695,0.120520,0.111770,,,,,,,,,
14,0.117000,0.149399,-0.021439,-0.013841,0.988448,0.009228,0.105810,0.117929,0.024278,0.101867,0.084674,0.018420,0.094938,0.157088,-0.015015,0.120626,0.112023,0.806425,0.188155,-0.557131,0.062293,0.223290,0.141479,0.110492,0.242800,0.144943,0.095859,0.200303,0.139295,0.098674,0.226766,0.140198,0.136943,0.243496,0.144975,0.096744,0.199930,0.139241,0.098771,0.226871,0.140243,0.136468,0.023963,0.102020,0.084876,0.018393,0.094956,0.157065,-0.014731,0.120482,0.111888,,,,,,,,,
15,0.125000,0.149637,-0.020882,-0.014297,0.988417,0.009248,0.105796,0.118000,0.024254,0.101859,0.084726,0.018480,0.094896,0.157143,-0.014991,0.120633,0.112133,0.806032,0.189373,-0.557305,0.062142,0.223275,0.141506,0.110484,0.242765,0.145030,0.095838,0.200281,0.139296,0.098684,0.226779,0.140193,0.136930,0.243426,0.145055,0.096752,0.199916,0.139243,0.098761,0.226895,0.140238,0.136481,0.023949,0.102008,0.084917,0.018457,0.094912,0.157129,-0.014724,0.120498,0.111998,,,,,,,,,
