Format Version,1.23,Take Name,pronk,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-23 06.39.35.709 PM,Capture Start Frame,44738935,Total Frames in Take,7094,Total Exported Frames,7094,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.130897,-0.044048,-0.019125,0.990232,-0.124481,0.119989,0.024569,-0.108119,0.114532,-0.007840,-0.117154,0.110451,0.064463,-0.148171,0.134984,0.017085,-0.174833,0.006844,-0.135507,0.975205,0.088573,0.143159,0.021236,0.108860,0.138553,0.008046,0.091897,0.146068,0.046797,0.064961,0.144857,0.008867,0.107957,0.138665,0.007932,0.092125,0.146093,0.047227,0.066630,0.144245,0.005996,-0.108161,0.114772,-0.009487,-0.117288,0.110456,0.065031,-0.148007,0.134884,0.017109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058000,0.131428,-0.043555,-0.018806,0.990190,-0.124467,0.119979,0.024515,-0.108128,0.114569,-0.007914,-0.117098,0.110405,0.064393,-0.148175,0.134963,0.017068,-0.173606,0.006747,-0.134158,0.975611,0.088575,0.143189,0.021227,0.108876,0.138672,0.008026,0.091890,0.146042,0.046795,0.064959,0.144852,0.008860,0.107969,0.138787,0.007945,0.092123,0.146063,0.047207,0.066627,0.144249,0.006001,-0.108163,0.114795,-0.009482,-0.117241,0.110409,0.065008,-0.148011,0.134862,0.017092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.067000,0.131605,-0.043680,-0.018518,0.990166,-0.124472,0.119973,0.024489,-0.108120,0.114583,-0.007937,-0.117111,0.110390,0.064366,-0.148186,0.134946,0.017039,-0.174663,0.007375,-0.134952,0.975308,0.088570,0.143188,0.021216,0.108846,0.138608,0.007998,0.091921,0.146087,0.046774,0.064942,0.144870,0.008875,0.107929,0.138717,0.007860,0.092145,0.146114,0.047216,0.066660,0.144252,0.006002,-0.108155,0.114808,-0.009489,-0.117261,0.110395,0.065006,-0.148016,0.134843,0.017064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.132511,-0.043265,-0.018836,0.990058,-0.124475,0.119938,0.024480,-0.108153,0.114602,-0.007970,-0.117084,0.110278,0.064332,-0.148189,0.134936,0.017077,-0.174934,0.007134,-0.134619,0.975308,0.088567,0.143172,0.021224,0.108850,0.138599,0.008015,0.091910,0.146089,0.046781,0.064942,0.144830,0.008875,0.107944,0.138709,0.007888,0.092137,0.146115,0.047220,0.066604,0.144215,0.005991,-0.108156,0.114807,-0.009503,-0.117228,0.110275,0.064993,-0.148045,0.134848,0.017100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083000,0.132072,-0.043350,-0.019481,0.990100,-0.124469,0.119928,0.024475,-0.108155,0.114542,-0.007971,-0.117090,0.110290,0.064335,-0.148163,0.134951,0.017061,-0.174961,0.006737,-0.134215,0.975361,0.088570,0.143160,0.021230,0.108865,0.138604,0.008034,0.091893,0.146083,0.046789,0.064950,0.144793,0.008866,0.107964,0.138716,0.007935,0.092122,0.146107,0.047210,0.066628,0.144182,0.006005,-0.108157,0.114743,-0.009480,-0.117240,0.110289,0.065019,-0.148017,0.134861,0.017084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.092000,0.131758,-0.042995,-0.018723,0.990172,-0.124465,0.119954,0.024436,-0.108160,0.114571,-0.008015,-0.117050,0.110355,0.064299,-0.148187,0.134934,0.017023,-0.175293,0.007125,-0.134785,0.975220,0.088572,0.143172,0.021232,0.108853,0.138582,0.008026,0.091916,0.146106,0.046787,0.064946,0.144828,0.008882,0.107949,0.138694,0.007924,0.092145,0.146130,0.047210,0.066636,0.144210,0.006002,-0.108169,0.114771,-0.009501,-0.117216,0.110357,0.065035,-0.148027,0.134836,0.017051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.131722,-0.043458,-0.019031,0.990151,-0.124474,0.119956,0.024472,-0.108145,0.114559,-0.007965,-0.117099,0.110354,0.064341,-0.148178,0.134953,0.017039,-0.174820,0.007183,-0.135052,0.975268,0.088571,0.143170,0.021236,0.108851,0.138582,0.008028,0.091914,0.146078,0.046794,0.064948,0.144851,0.008886,0.107944,0.138694,0.007911,0.092142,0.146103,0.047228,0.066629,0.144232,0.005981,-0.108159,0.114769,-0.009500,-0.117248,0.110355,0.065007,-0.148024,0.134859,0.017063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108000,0.131400,-0.043992,-0.019268,0.990165,-0.124479,0.119985,0.024558,-0.108122,0.114558,-0.007859,-0.117149,0.110405,0.064441,-0.148166,0.134994,0.017092,-0.174922,0.007246,-0.134784,0.975286,0.088575,0.143192,0.021238,0.108854,0.138612,0.008025,0.091922,0.146106,0.046794,0.064948,0.144858,0.008893,0.107949,0.138725,0.007924,0.092152,0.146130,0.047219,0.066640,0.144238,0.005996,-0.108152,0.114792,-0.009505,-0.117282,0.110408,0.065016,-0.148010,0.134898,0.017115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.117000,0.131212,-0.043811,-0.018928,0.990205,-0.124490,0.119970,0.024539,-0.108138,0.114541,-0.007881,-0.117143,0.110411,0.064424,-0.148190,0.134958,0.017073,-0.174041,0.007318,-0.134782,0.975443,0.088563,0.143179,0.021220,0.108843,0.138623,0.008002,0.091908,0.146047,0.046783,0.064937,0.144868,0.008876,0.107937,0.138736,0.007900,0.092137,0.146071,0.047207,0.066640,0.144253,0.005978,-0.108160,0.114761,-0.009466,-0.117277,0.110413,0.065010,-0.148038,0.134865,0.017096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.130954,-0.043639,-0.018729,0.990250,-0.124486,0.119970,0.024519,-0.108141,0.114530,-0.007902,-0.117122,0.110435,0.064407,-0.148194,0.134944,0.017053,-0.174776,0.007123,-0.135141,0.975264,0.088578,0.143164,0.021232,0.108859,0.138573,0.008027,0.091917,0.146069,0.046791,0.064957,0.144849,0.008878,0.107958,0.138687,0.007932,0.092148,0.146092,0.047211,0.066629,0.144233,0.005998,-0.108174,0.114756,-0.009490,-0.117270,0.110439,0.065048,-0.148027,0.134842,0.017077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
